gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,27405.561765501596,41175.120694216224,0.395200049926497
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21357.950705492425,33751.63060785567,0.2923524607771582
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,27514.76437670869,41524.20543802268,0.41482109402392353
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,32792.97258937026,53448.30298199759,0.3710780707139334
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,35587.12654612507,51924.18199064054,0.4567725993478699
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,25621.20505267519,38204.0695208066,0.31133947620412805
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23717.155305475393,38948.24503679576,0.24245807646130219
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,20206.895831557766,31576.812659368363,0.22326702878718552
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23302.37834440025,36424.976951521465,0.27429531213333364
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27773.12650982481,41629.10919660078,0.3645629061463423
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,26615.877838023524,45084.975914820876,0.2655697326289019
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,145616.27559274386,230703.37437314002,0.9563292716024719
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,145682.55965218713,230908.73157392166,0.9562790267407958
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,145618.65986979168,230704.87929820415,0.9563854525945319
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,145684.91579936922,230910.21810683762,0.9563346310539943
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,145616.42244303387,230703.46706287918,0.9563327318458078
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,145682.46780132235,230908.6736338879,0.9562768585681904
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22969.72158794981,36941.40221729917,0.23106546931734176
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23762.39177777092,37413.59393588547,0.2522753708876666
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,23084.72356178977,36451.29890578239,0.3277809747846341
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,26418.763595933324,40580.74419012654,0.3468113762635686
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,28407.06270566998,49725.846774204765,0.2972550169115198
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,42215.39409873842,59025.74448559295,0.5637496025478772
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,25454.036434067235,38250.015996581635,0.33070549679817224
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,22870.695810867255,37038.82407163956,0.2626302737873972
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21380.15687085701,32536.66729244584,0.26020586411232244
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23661.64716903668,38316.33901098339,0.281566588246232
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,28753.933549952653,48475.20622086054,0.34802157581063137
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,25727.099731890285,41567.375222750554,0.28973818309362137
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146532.55696451824,231282.8084408451,0.9779197168660283
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146598.56735477934,231487.74067887935,0.97789670776394
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146533.75007975262,231283.56435804136,0.9779478303800241
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146599.73715443572,231488.48150234765,0.9779243148490903
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146532.6495587713,231282.86710348364,0.9779218987765894
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146598.5273105997,231487.7153205212,0.9778957626612045
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,28415.886357125946,43107.33693709254,0.33871354735607895
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23455.673848890303,36463.91213150613,0.3062719534293213
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,23934.233233901516,37800.93611583111,0.33060711137575527
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,24958.857945160617,38984.31593633244,0.3822469105636616
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,30358.57413884943,49282.75323278865,0.3272796098915727
2,0,100,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,37057.66974032693,53814.637475602714,0.5041837643042671
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24360.73761541193,40714.98307642318,0.2520510979393273
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,28969.28632385328,43905.302982964306,0.462840701178187
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,19445.077823745265,30473.984802332325,0.22350434531574193
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23355.583685354646,37710.66336439119,0.3117819149819392
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,24777.090191169507,42567.290722423626,0.2559818246754046
2,0,100,"(128, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,29526.73923289414,45841.54751762762,0.343862152849677
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146531.49483450226,231282.13551313293,0.9778946898415688
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146597.8822911426,231487.30683755726,0.9778805402780529
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146533.20827488755,231283.22108762333,0.9779350638667402
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146599.36593364656,231488.24641183237,0.9779155540732656
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146531.65535392993,231282.23721314306,0.977898472118948
2,0,100,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146597.8330967325,231487.27568342816,0.9778793792899685
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23575.349701704545,36123.3645880505,0.2855025434987965
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,20979.679291179375,34916.59594262783,0.20206697620519493
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,24076.398205492424,37092.14216722644,0.3970496519317522
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23886.29342558665,38177.05532109617,0.35658063728840594
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,25163.116482007576,44727.899887731975,0.24583808760854578
2,0,100,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,29523.837574399113,50053.10242019393,0.331927395202847
2,0,100,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24653.2810398911,39562.51319991053,0.2671958971407854
2,0,100,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,22729.519031696156,36226.508581054426,0.31261161070301013
2,0,100,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,20768.601354166665,33703.353110760814,0.23741458666104232
2,0,100,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,21668.141468664566,36238.249978931904,0.2201029946430534
2,0,100,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,28054.409384469698,44498.452448227596,0.3237799718978599
