camadas,epochs,neuronios,ativacao,normalizacao,mae,rmse,mape
1,100,64,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,101101.72072438028,186129.41920687363,0.9411766603933679
1,100,64,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,84295.12780280615,155368.21422162524,0.6283785078383923
1,100,32,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,105484.41255123988,172732.71367219443,0.743507213047091
1,100,32,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,116907.94663741309,207969.35589381255,0.6753425639344591
1,100,32,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,95013.41378684776,168452.22202583976,0.6750884089708531
1,100,32,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,121579.87905476488,195338.58489136255,0.8363828802535312
1,100,32,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,121860.49579145254,212377.9814157963,0.67755036322774
1,100,32,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,116288.50419549816,194546.9864032637,0.7857901817874562
1,150,256,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,51317.151898562835,87397.9526453492,0.49597116774203975
1,150,256,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,103556.62638867895,125315.79567913144,2.349455730167072
1,150,256,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,77040.26161572088,102572.04962821912,0.7440760419180633
1,150,256,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,60226.38088122071,90612.08496373805,0.7964427935091555
1,150,256,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,81629.03760769348,102904.34047701738,1.8054390636996862
1,150,256,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,72592.5604428357,93665.30334277725,0.8416157776956728
1,150,128,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,68838.63873977616,103820.42416897704,0.6929836753262693
1,150,128,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,114700.44541641475,147467.75517482348,2.678095868003924
1,150,128,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,92815.08995737447,122079.43713039541,0.9819709955803902
1,150,128,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,61827.67246568304,88369.40470591075,0.76153972463919
1,150,128,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,100015.3250642382,137013.87409493863,2.297788028773332
1,150,128,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,82805.15044130928,107062.93185423389,0.9513625837277663
1,150,64,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,51364.18273379408,74729.6821012136,0.6809018580971343
1,150,64,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,101834.4548632104,156281.4369118916,1.9905989805480437
1,150,64,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,83975.61578663891,110305.72662145352,0.9449556983314965
1,150,64,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,56271.18210061199,90356.2453748717,0.5965448836937226
1,150,64,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,96312.95133010883,158257.6857237608,1.7135817816825236
1,150,64,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,58482.073603324476,105858.30320498557,0.634616758133625
1,150,32,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,68621.8434781417,116760.06994494423,0.6025555733640233
1,150,32,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,101614.6338988815,186864.85117582724,0.9353455499070843
1,150,32,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,59804.130717523156,118237.48561798496,0.5819418294460413
1,150,32,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,96699.85908099616,158188.96402412193,0.7182823190555129
1,150,32,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,105600.3530787107,194249.45224701872,0.8039576222806808
1,150,32,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,86936.89859717299,158593.31072828543,0.6389567914636123
2,50,"(256, 128)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,43068.97499551277,71541.8122581686,0.5843893459776212
2,50,"(256, 128)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,51521.751810389826,86380.46708916356,0.6182747702814679
2,50,"(256, 128)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,37699.76872886279,62769.9111354705,0.4168694938863327
2,50,"(256, 128)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,39929.59959038915,61203.45564919584,0.5062764902237076
2,50,"(256, 128)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,42282.67219855275,73576.38814528768,0.6142880884137875
2,50,"(256, 128)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,41371.02386725598,77050.17693491871,0.4323934108602758
2,50,"(256, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,42587.67475863437,73158.07147361177,0.5492772985991071
2,50,"(256, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,51311.07938378552,83662.11001997885,0.6428999257417966
2,50,"(256, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,40582.27339152068,65036.611056273236,0.4262710200058719
2,50,"(256, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,41327.98203940432,65031.70447867715,0.5067880972453466
2,50,"(256, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44833.87536252078,76045.72460181953,0.6561936303774334
2,50,"(256, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,43024.13425109868,71875.17273532023,0.5195346252266705
2,50,"(256, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,39998.607806831926,74397.42114262929,0.4010985679399967
2,50,"(256, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,56991.15779897927,86345.22954848537,0.7780046789662699
2,50,"(256, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,47284.0312595575,69576.6355478011,0.5474413134220661
2,50,"(256, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,43296.70714369247,68858.91169313564,0.5286551877085979
2,50,"(256, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47455.30098435611,77396.9178346728,0.710495434593625
2,50,"(256, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,45797.893016965674,70420.47657169189,0.5390775672620024
2,50,"(128, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,41021.204582758655,75672.36635222269,0.3918479666153048
2,50,"(128, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,55058.84929999244,88391.92466913069,0.6949351547196166
2,50,"(128, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,46764.95826992418,69627.67612912924,0.542412056602587
2,50,"(128, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,43328.26898013983,68614.9934410605,0.5268714144464854
2,50,"(128, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,46500.374336362605,77561.05083523103,0.6793933880150377
2,50,"(128, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,46439.70195642175,72158.8844986822,0.5401373452185927
2,50,"(128, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,42281.04733018056,78094.36454608702,0.41089097264280344
2,50,"(128, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,60737.86829032114,87693.48977575488,0.8737588941786664
2,50,"(128, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,52029.09540152867,74864.5365161613,0.5757919653715962
2,50,"(128, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,43787.91230857819,70502.80845404844,0.5311731090629234
2,50,"(128, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47810.50546615213,76317.83926203569,0.7092369489517442
2,50,"(128, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,53794.359859494805,78013.43427645529,0.609808119070746
2,50,"(64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,44822.54263161748,79325.8870557251,0.47787429996279657
2,50,"(64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,67130.3934495919,86072.71934472516,1.0845199961375522
2,50,"(64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,60336.71349020131,82970.62694711941,0.6460986511019761
2,50,"(64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,45079.367671699016,74079.37504928236,0.5413039444260286
2,50,"(64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,48054.673987539674,73785.01400340778,0.714955643555154
2,50,"(64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,63160.55211576672,85436.02246609241,0.6971203233603301
2,100,"(256, 128)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,34761.9980923377,55426.56844404832,0.5269278365791178
2,100,"(256, 128)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44488.80997003004,80142.85504348493,0.46901269463637824
2,100,"(256, 128)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32851.13025714178,54277.55189834218,0.4287186503652547
2,100,"(256, 128)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,30867.322958331588,43136.80329117598,0.4359320478732021
2,100,"(256, 128)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,36826.06122468259,66702.42415191814,0.5358465274596025
2,100,"(256, 128)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,36464.35352517212,67608.42896733152,0.39487801682773166
2,100,"(256, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,37302.22157813445,59558.29339998384,0.5510544714590674
2,100,"(256, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44177.65727851987,79193.3685602688,0.46335652926037424
2,100,"(256, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32357.107072343562,53952.02491276701,0.419273406417905
2,100,"(256, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,31051.657775569856,44420.74921250153,0.4543113083580274
2,100,"(256, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37925.91201372619,68340.64856312014,0.5426349896374638
2,100,"(256, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,36584.865997219895,60986.27337728208,0.47421099582654136
2,100,"(256, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,40934.57638560875,65497.26312168869,0.5879126751095015
2,100,"(256, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,45320.33771644971,78302.81092277801,0.5114770477431978
2,100,"(256, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33052.63398272181,55698.97557780943,0.39817052949071746
2,100,"(256, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,35936.26853155023,54327.696240517245,0.4834879698823145
2,100,"(256, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,41429.0910375888,71637.53395733717,0.6010377880483829
2,100,"(256, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,38507.49020796503,65261.820550084936,0.49186668356178165
2,100,"(128, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,39597.4946253637,65352.74256424195,0.5471772985829099
2,100,"(128, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,46970.17521326141,82794.87987021139,0.508010302701872
2,100,"(128, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32594.885664251437,55907.539186838396,0.3784328546409374
2,100,"(128, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,32838.151212504294,52036.740766843184,0.42488030315611425
2,100,"(128, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,39834.78045174577,70561.44908838389,0.5775590141938837
2,100,"(128, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,37435.24011757008,62716.216661640814,0.4775095768280731
2,100,"(128, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,39717.42149417605,68591.69357840832,0.5029096533823777
2,100,"(128, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47083.46772066829,78818.7622533104,0.6052974126098063
2,100,"(128, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,34786.75989138547,58174.231068408364,0.38170049765754926
2,100,"(128, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,38146.94501003187,59331.0739722747,0.4870291052996832
2,100,"(128, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,43230.78668899259,73119.99672829539,0.6410800835292
2,100,"(128, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,40661.09936054096,65927.43174440546,0.5109108054890694
2,100,"(64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,41818.332888620505,72458.49565878542,0.45657084584847435
2,100,"(64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,51961.29415432285,85639.71661513812,0.6319710833726611
2,100,"(64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,40108.86495303762,62727.155699967516,0.4669171233273799
2,100,"(64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,40796.97807895287,66849.10567019039,0.49174642594935114
2,100,"(64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44698.1928244502,74647.73144366263,0.6611649804506011
2,100,"(64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,41461.712462262636,67488.06246429405,0.48792595224776514
2,150,"(256, 128)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,30940.870694622885,46259.3904362155,0.5231311137139082
2,150,"(256, 128)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,40590.42185374471,74485.09557854156,0.40775532642858453
2,150,"(256, 128)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33277.77787749395,53970.4638345446,0.41850422535202003
2,150,"(256, 128)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,32813.10162052768,44669.11513157881,0.47762139111828045
2,150,"(256, 128)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,34680.93971763528,61733.34471575171,0.5272696488511595
2,150,"(256, 128)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,33027.60385550207,60232.50253428311,0.3427158635135057
2,150,"(256, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,33338.86725008502,52240.11655456181,0.5689319913366107
2,150,"(256, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,42812.140794451894,78014.7982089007,0.4230304283792031
2,150,"(256, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33585.47488451292,54783.448793239884,0.4440952414560294
2,150,"(256, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,33464.538519433794,45413.6715010099,0.4671693657926443
2,150,"(256, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35980.1728657327,65478.69453191492,0.5005493128319372
2,150,"(256, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,33171.162294401656,53626.55917425394,0.4558992740259657
2,150,"(256, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,37610.917264963726,59532.3977496742,0.5646377688020999
2,150,"(256, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44239.01134205902,79107.68204362989,0.4654689423058489
2,150,"(256, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33449.75028104217,54926.26525727205,0.4505701654479426
2,150,"(256, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,31816.244352384518,46712.437139060305,0.461004906386282
2,150,"(256, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,40648.35041589518,71732.00461749194,0.5413391988016446
2,150,"(256, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,36935.058508035785,60867.06126972875,0.48804250487804596
2,150,"(128, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,36867.16283736869,58954.77825850073,0.5421333087429147
2,150,"(128, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44461.80425176655,80538.09389113958,0.46153257548006515
2,150,"(128, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33386.87285793909,55283.58036888175,0.43483583159511063
2,150,"(128, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,29012.62371388312,44463.81349103173,0.3995269153680679
2,150,"(128, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37051.876060402814,67197.41380200679,0.5363889323967697
2,150,"(128, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,34764.47955121152,57157.81015356098,0.47115455595542066
2,150,"(128, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,39061.72511448336,63672.64020959534,0.5590827613783298
2,150,"(128, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,45002.66773769616,78685.05361343932,0.5399915839631232
2,150,"(128, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32655.245591888983,55369.010868098856,0.3960918464605087
2,150,"(128, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,32918.49698075245,51699.13591053077,0.45971655562389324
2,150,"(128, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,40120.619630677524,70902.40124255641,0.5664583736283221
2,150,"(128, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,37997.27647220007,62612.79750414644,0.4968022897204561
2,150,"(64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,41590.82508165574,69524.86558425475,0.491019931700891
2,150,"(64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,48567.63566425144,84264.41427601081,0.5391924405691478
2,150,"(64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33074.74241776564,57278.994245822585,0.37317681060296815
2,150,"(64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,37731.948875129725,60561.40239850415,0.4772776899532727
2,150,"(64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,41449.808662239266,72369.62396785158,0.6095631899733096
2,150,"(64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,36575.91152743186,63214.17286629324,0.4471301525118998
