gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,145610.03450358074,230699.4351485474,0.9561822120803685
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,145679.34719867172,230906.7048284835,0.9562032127357765
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,145615.45369303387,230702.85560424466,0.9563099050761055
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,145682.89443706453,230908.9428026531,0.9562869271249812
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,145610.32527506512,230699.61867422998,0.9561890635629078
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,145679.3814976114,230906.7264680798,0.9562040221386212
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,26354.352919625948,39986.81455687683,0.3267409832038654
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,27865.135591490736,47999.82170434993,0.3148612461983272
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,31441.776058238636,53594.820227239485,0.35953290463179144
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,40436.61516970592,92148.54700323283,0.36096190405273243
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,33314.86687973485,61536.524702927534,0.34764226765444356
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,46386.418601201774,76063.21511442287,0.5265033456778265
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22212.306611032196,34017.09205044755,0.25718112685492495
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,29281.696844089365,53715.86680529765,0.29613154780901624
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,33007.38816879735,55854.93612713092,0.44559366840681686
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,34163.151030196306,75822.74547171708,0.3270180803197157
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,26231.843093779593,48838.66393268192,0.2806936850987863
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,40083.20109059368,75887.34866365186,0.36756243539636985
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146527.11904881333,231279.3632044675,0.9777915829495429
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146594.67709087313,231485.27703950283,0.9778048978973298
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146530.57039225262,231281.54982445913,0.9778729070310815
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146597.5917637247,231487.1228504983,0.9778736838574146
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146527.40455973308,231279.54409488215,0.9777983101486664
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146594.84780620516,231485.38514991064,0.9778089267604693
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,28858.613711529357,43759.331268802154,0.3830772800120878
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,26008.066630515263,42280.36036785739,0.39739784997436745
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,39145.41694128788,70869.07142175168,0.4314082280127702
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,38504.65226068879,72003.19877732087,0.4490923634935877
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,31699.757587594697,56548.973091220534,0.3547645978095833
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,29097.022939132745,49118.092409872785,0.3972725483283979
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,21752.504850852274,33752.908425097245,0.2611558334371869
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,27072.834801934616,50100.85987941219,0.27974302929119466
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,42352.598573330964,71267.71829075458,0.6812207733201734
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,33948.516592162494,68765.11675838067,0.35951859327623115
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,24202.38009736032,41333.00341875911,0.3462131159810541
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,31307.04910638005,59194.09975278677,0.3065759734148796
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146987.95922241212,231571.60315121402,0.9886504138370762
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,147054.69646953524,231776.87090912493,0.9886613048528884
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146990.3062931685,231573.09294016473,0.9887057179079216
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147056.3603184122,231777.92656932777,0.9887005715041615
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146988.239490227,231571.78104886235,0.9886570175884252
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147054.88223003328,231776.98876801162,0.988665688780298
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,25946.847942708333,40987.54877283509,0.3307484441355554
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,27689.45184467079,49813.11481520657,0.3520033979144366
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,38534.64131392045,63915.107688860095,0.5025037592855762
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,66168.93696603508,105460.89815672424,0.8205019648518317
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,30510.85521780303,49787.55670470029,0.35813700702797924
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,38643.16574508278,66683.31062930239,0.5040817494355387
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24273.646424597537,38328.86998495107,0.2771238200450868
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,25450.62803292072,42566.934087218746,0.26959487357510886
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,36053.72547348485,62451.210490566926,0.5212732187290953
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,42310.79892661186,82370.13559035113,0.5677409036327885
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27807.856168323862,42105.76778819589,0.3560161303602789
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,27014.729772222432,46749.080914403305,0.2808458307819126
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,144693.64766276043,230122.13909939202,0.9345892816300858
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,144763.0935343375,230329.73621397142,0.9345797265450528
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,144699.06489908855,230125.54532775257,0.9347169286041096
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,144766.6391880411,230331.96468679394,0.9346634035953967
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,144693.9384342448,230122.3219275737,0.9345961331126251
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,144763.12795757235,230329.75784891212,0.9345805389408807
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,28818.359309895834,43201.72003844947,0.3547416263344712
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,36949.91066529655,70166.47796487117,0.373012415578844
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,29970.954049479165,47817.955347836556,0.3467546640232429
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,32845.26773475471,76932.2999070757,0.2668350614173058
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,34898.35449928977,61814.469619105286,0.35107061716273436
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,52025.72391700049,93073.57249394775,0.5459041116555957
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23715.02872750947,36686.44088602888,0.2993597095188579
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,38100.3870859992,77538.7248699766,0.33901362306584354
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,30002.99727154356,47789.16479169597,0.4224350060637023
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,29343.04700436598,66767.87315257799,0.24519607311733607
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27078.901489997632,49242.99879365948,0.2983050783692902
1,0,150,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,45828.94269844509,90171.87996265192,0.40747247478933996
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146065.025226237,230986.88019899768,0.9669032117632598
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146132.5563022989,231192.90245620126,0.9668988978979899
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146068.47603190105,230989.0623384729,0.9669845235012534
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146135.47060893953,231194.74454401908,0.9669676752155367
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146065.31062662762,230987.0606726231,0.9669099366860879
1,0,150,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146132.72695659578,231193.0103235152,0.9669029253207064
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,28445.277017045453,43924.396824380936,0.360165633503419
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,36717.17521287401,62456.174795081424,0.4853842233481692
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,30264.60700875947,51445.727565092224,0.38499230389772615
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,37453.981722974255,82978.5503566645,0.3607839489350594
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,28042.81043442235,48514.27598931866,0.30118193034638
1,0,150,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,38953.48047824271,70498.67938328692,0.45990985299768167
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22700.937162050188,36455.30698399024,0.2724818768109226
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,43834.44995265511,91670.99344150285,0.4056386878242678
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,33176.66501660896,53464.4322091459,0.6947752088605563
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,36233.19616872572,75563.16212316352,0.3408333150544973
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,24133.275744850853,43585.20811400742,0.30320719185381445
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,45873.611913706525,89477.48292959762,0.4131788801603252
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146753.23048754144,231422.68231147225,0.9831194729335057
