gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,50,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,147001.68876993816,231580.3180992258,0.9889739245381726
2,0,50,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147061.70080896426,231781.31499501967,0.9888266064256906
2,0,50,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146996.9753667658,231577.3261683102,0.98886286227189
2,0,50,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147060.8072169734,231780.7480226489,0.9888055178290263
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24371.023543442236,36113.16990810968,0.3170156738725053
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,28478.299933135728,48658.46573099409,0.24461902479543143
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,24366.228792613638,37603.85282925918,0.33613646105059436
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23890.88730373823,38770.05470730981,0.2691850991877478
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,30897.750619673294,48325.312360376745,0.39488679399171833
2,0,50,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,24250.494000014238,38197.220052201126,0.2874293271420874
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24728.10942101681,36261.25658744315,0.29030378776260884
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23983.375768167858,41262.844382981864,0.24112522227919675
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21874.566241714016,33168.92201245265,0.29741745798331337
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23932.714900706258,38003.349972888616,0.3155921910284323
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,26144.204843158142,40146.53718905846,0.3075633926673738
2,0,50,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,25319.070768743357,42445.98998665188,0.26163899127758533
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146535.51364738695,231284.6816921876,0.9779893862089151
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146598.41453987948,231487.64390314484,0.9778931014691506
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146538.11873209637,231286.3322188902,0.9780507694468221
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146600.39302836126,231488.89686315582,0.9779397933884817
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146535.6727092211,231284.7824667029,0.9779931345756863
2,0,50,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146598.30175892494,231487.5724788242,0.9778904399612871
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24344.350610795456,37047.5545732891,0.32611670403713505
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,33754.358171205764,60113.79955309096,0.3955108552865524
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,27137.68861446496,44738.96280496571,0.33407742617428465
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,24424.072348686208,40215.75350539502,0.30694929631797985
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,28097.84259469697,45770.250680389625,0.3204054789029079
2,0,50,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,26040.320260883393,39677.19036298274,0.32395353919920317
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22951.95245028409,35242.869177532266,0.26557882538217836
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,24713.200991304937,39265.85670216208,0.2756616553013191
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,20668.289512754498,32847.05663974816,0.2204032961293231
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23961.677130401353,37438.204909002445,0.3548573884129192
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,24547.082669270832,40170.64982133243,0.27777630047453566
2,0,50,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,26003.002535740052,40403.16969760984,0.31058616550856105
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146995.93967170484,231576.66874167166,0.9888384586717742
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,147060.10839543396,231780.30463109323,0.9887890259292476
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146997.3653141646,231577.57369620362,0.9888720504465054
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147061.27609104605,231781.04551505926,0.9888165832105278
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146996.01331184155,231576.71547112704,0.988840194665123
2,0,50,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147060.100986782,231780.2999296775,0.9887888511652463
2,0,50,"(128, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,27625.182082149622,39857.54833867567,0.3776776454960093
