bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,21928.37259953106,37986.868928544405,0.21140880019235134
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30018.535924479165,48679.030925639745,0.34196720758856813
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23384.808730800996,41470.93260513683,0.2390692603397533
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24482.859145951705,43706.99795873271,0.24089508654224775
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27806.55393994912,47912.0042663526,0.29413941946031624
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146988.05245583275,231571.662137584,0.988652627242908
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147055.76469282334,231777.54862617468,0.9886865172383001
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146992.07733172792,231574.21710058677,0.9887474494523362
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147058.90570969426,231779.54154908,0.9887606429063817
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146988.51896066376,231571.9583282801,0.9886636138571537
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147055.74162405578,231777.5339906531,0.9886859728900378
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22158.72984256629,36439.15369938001,0.23655411825312175
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21464.812552803196,38526.67117634926,0.21076797460956595
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,28720.111306226325,51546.35099309449,0.27081362642030815
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30019.022914214383,50711.57565252299,0.305080935618151
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26602.961068892044,44942.32502915084,0.2900371671021849
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25288.15782638309,48658.266777144236,0.2606621054719078
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,21960.913696437026,35554.17071723454,0.20712552745872762
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,21567.069300636485,38498.08205125944,0.2188984383342163
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24964.66595999053,39493.65807468703,0.2668594673832338
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27880.301470658036,45515.01427369513,0.29745002611998983
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25406.068411458335,41975.391535812094,0.2738688155327465
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25876.14364368165,46640.53200653019,0.2706012678335645
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,140163.55133285985,227285.8629103205,0.8336292890797129
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,140241.04493967383,227499.7450876244,0.833615584801221
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,140177.52576822916,227294.67166953784,0.8339109939780437
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,140249.03569792773,227504.78030662972,0.8337769000403353
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,140164.45022845644,227286.4295107309,0.8336474095465479
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,140240.91216573797,227499.66142464103,0.8336129041960066
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,25224.8869921875,38763.84351588283,0.3273170846778138
