lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,100,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,27445.78616010404,53915.81258888846,0.2632097654296618
2,0,100,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,26375.072545276988,42969.00083531007,0.2929676492568227
2,0,100,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,35364.116899358254,71060.51125186637,0.3001453245984697
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146993.79484903972,231575.30730595274,0.9887879191555686
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,147063.77530982572,231782.63124016367,0.988875564483865
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,147003.3153873698,231581.35064077025,0.989012252715211
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147072.51256152464,231788.17503702722,0.9890817623996424
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146993.80495046906,231575.31371783043,0.9887881571751954
2,0,100,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147057.76305510843,231778.81656817734,0.9887336759421657
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,30143.740675899622,46041.03073062462,0.3595521192371406
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,39670.90159382594,76371.9860568888,0.40667888973809985
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,30385.35419152462,47537.34398328109,0.3593929435158426
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,40695.441879105594,90079.73241698155,0.3450805084340506
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,35399.419161931815,54095.789187997245,0.4292502298857292
