bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
2,100,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,30744.17885854368,51236.00872585127,0.3158675261157881,,
2,100,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,25520.87843066288,42929.24136221386,0.2517704884772196,,
2,100,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33356.06559736812,55388.33331598547,0.477382013747424,,
2,100,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,27488.730991003158,52647.70102579735,0.2586589715744711,,
2,100,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,29741.178366129458,44005.51393463855,0.49676551447883005,,
2,100,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,40886.77588422007,71613.87920982683,0.4285874219805589,,
2,100,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,30452.85520660142,51483.47867246909,0.30716169847203795,,
2,100,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,28851.17683590943,41691.72201634165,0.3833781080631876,,
2,100,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35674.04282114382,58938.42360142949,0.5229269331675601,,
2,100,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,28309.901013324165,54726.687006190754,0.30328209591209726,,
2,150,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,25658.534210389585,40658.248438540184,0.3616432248494067,,
2,150,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29064.206217644725,47766.933596121766,0.32094355411846004,,
2,150,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,26029.754307738815,43632.93411120326,0.3083515915033356,,
2,150,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,35932.31746098497,58204.805617255864,0.3647346814370013,,
2,150,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26255.420713044135,39199.694521199024,0.37059646554751113,,
2,150,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,25606.806022048717,45293.70319150892,0.2756961016154143,,
2,150,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,27253.246623951407,41008.16020091913,0.42980115629385107,,
2,150,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30547.03689091785,53072.59666158948,0.3241249071321402,,
2,150,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,31102.161158200764,50755.470919313404,0.300583332880614,,
2,150,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,40097.781617946464,65716.26585009195,0.3862576608504044,,
2,150,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27829.393093565788,41282.03913350897,0.418296392469236,,
