data,estados,consumo
201603,AC,34328.0
201604,AC,35450.0
201605,AC,36695.0
201606,AC,36606.0
201607,AC,40673.0
201608,AC,40519.0
201609,AC,35289.0
201610,AC,37441.0
201611,AC,34310.0
201612,AC,32447.0
201701,AC,10406.0
201702,AC,9081.0
201703,AC,9545.0
201704,AC,10130.0
201705,AC,14451.0
201706,AC,13218.0
201707,AC,13552.0
201708,AC,15826.0
201709,AC,14869.0
201710,AC,14734.0
201711,AC,12754.0
201712,AC,11925.0
201801,AC,13114.0
201802,AC,8920.0
201803,AC,9724.0
201804,AC,9737.0
201805,AC,10136.0
201806,AC,14403.0
201807,AC,12871.0
201808,AC,15749.0
201809,AC,14269.0
201810,AC,15367.0
201811,AC,14595.0
201812,AC,9811.0
201901,AC,11188.0
201902,AC,10381.0
201903,AC,8080.0
201904,AC,11154.0
201905,AC,12508.0
201906,AC,12126.0
201907,AC,14496.0
201908,AC,16723.0
201909,AC,15253.0
201910,AC,16531.0
201911,AC,15206.0
201912,AC,10160.0
199001,AL,27421
199002,AL,20324
199003,AL,18584
199004,AL,20972
199005,AL,30874
199006,AL,27272
199007,AL,28390
199008,AL,29769
199009,AL,26382
199010,AL,26039
199011,AL,27974
199012,AL,29312
199101,AL,23059
199102,AL,24554
199103,AL,28653
199104,AL,28548
199105,AL,23963
199106,AL,21799
199107,AL,26149
199108,AL,23653
199109,AL,23759
199110,AL,29865
199111,AL,26268
199112,AL,25081
199201,AL,23986
199202,AL,19716
199203,AL,18346
199204,AL,18275
199205,AL,19135
199206,AL,17460
199207,AL,19658
199208,AL,19655
199209,AL,20255
199210,AL,19652
199211,AL,22649
199212,AL,25737
199301,AL,18607
199302,AL,15650
199303,AL,24592
199304,AL,20110
199305,AL,13912
199306,AL,15900
199307,AL,16059
199308,AL,17159
199309,AL,21874
199310,AL,20202
199311,AL,21461
199312,AL,19078
199401,AL,21593
199402,AL,11364
199403,AL,17671
199404,AL,14407
199405,AL,15535
199406,AL,14669
199407,AL,16385
199408,AL,18634
199409,AL,19636
199410,AL,21738
199411,AL,24213
199412,AL,24010
199501,AL,23083
199502,AL,19589
199503,AL,24093
199504,AL,15932
199505,AL,15963
199506,AL,14231
199507,AL,16378
199508,AL,16866
199509,AL,16919
199510,AL,19499
199511,AL,19887
199512,AL,22828
199601,AL,24684
199602,AL,19638
199603,AL,22878
199604,AL,18706
199605,AL,20707
199606,AL,16400
199607,AL,19799
199608,AL,19437
199609,AL,22400
199610,AL,24490
199611,AL,22115
199612,AL,25569
199701,AL,23870
199702,AL,20753
199703,AL,22105
199704,AL,22099
199705,AL,21861
199706,AL,22016
199707,AL,24612
199708,AL,27414
199709,AL,32522
199710,AL,37841
199711,AL,39829
199712,AL,39743
199801,AL,41762
199802,AL,33114
199803,AL,38870
199804,AL,32830
199805,AL,31908
199806,AL,27182
199807,AL,30415
199808,AL,30677
199809,AL,33704
199810,AL,37876
199811,AL,39406
199812,AL,38094
199901,AL,35204
199902,AL,29931
199903,AL,34961
199904,AL,29729
199905,AL,29420
199906,AL,28380
199907,AL,31098
199908,AL,31311
199909,AL,32344
199910,AL,32497
199911,AL,35886
199912,AL,32988
200001,AL,32682
200002,AL,28067
200003,AL,29678
200004,AL,25424
200005,AL,28986
200006,AL,24122
200007,AL,25089
200008,AL,30197
200009,AL,28010
200010,AL,33815
200011,AL,36088
200012,AL,35240
200101,AL,29583.333333333332
200102,AL,29583.333333333332
200103,AL,29583.333333333332
200104,AL,29583.333333333332
200105,AL,29583.333333333332
200106,AL,29583.333333333332
200107,AL,29583.333333333332
200108,AL,29583.333333333332
200109,AL,29583.333333333332
200110,AL,29583.333333333332
200111,AL,29583.333333333332
200112,AL,29583.333333333332
200201,AL,26333.333333333332
200202,AL,26333.333333333332
200203,AL,26333.333333333332
200204,AL,26333.333333333332
200205,AL,26333.333333333332
200206,AL,26333.333333333332
200207,AL,26333.333333333332
200208,AL,26333.333333333332
200209,AL,26333.333333333332
200210,AL,26333.333333333332
200211,AL,26333.333333333332
200212,AL,26333.333333333332
200301,AL,30109.0
200302,AL,27684.0
200303,AL,26534.0
200304,AL,25109.0
200305,AL,25171.0
200306,AL,22645.0
200307,AL,24689.0
200308,AL,23364.0
200309,AL,26382.0
200310,AL,26634.0
200311,AL,27789.0
200312,AL,30032.0
200401,AL,24166.0
200402,AL,21774.0
200403,AL,28228.0
200404,AL,25525.0
200405,AL,26207.0
200406,AL,19604.0
200407,AL,25229.0
200408,AL,22412.0
200409,AL,27370.0
200410,AL,26452.0
