estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego
RN,199101,9731032.76298725,76.03666745583332,0.36407068653333324,2415077.0,1290178.826542833,6.62,4.7,19.93,2.375184773,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525
RO,199101,8168750.853394596,51.854540127499995,0.6455197911250001,1133265.0,859917.4734638877,6.62,4.7,19.93,2.375184773,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991
RR,199101,2291289.847769084,11.871317021666664,0.9408014103916666,217583.0,97877.56521573158,6.62,4.7,19.93,2.375184773,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912
RS,199101,121476451.18184033,861.083120975,1.203452145891667,9138463.0,7863196.004287845,6.62,4.7,19.93,2.375184773,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091
SC,199101,72404776.09741576,395.2741065166667,1.4411888262666663,4542048.0,2405508.850756907,6.62,4.7,19.93,2.375184773,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367
SE,199101,11689735.919668674,60.86519141083334,0.7077186618333332,1491878.0,1089619.7748451766,6.62,4.7,19.93,2.375184773,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202
SP,199101,668260558.619035,3918.9768310000004,1.9122255405416662,31588794.0,35188382.69154267,6.62,4.7,19.93,2.375184773,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392
TO,199101,6341700.325344789,16.74032089583333,0.6233566031999999,918400.0,2508.175992061758,6.62,4.7,19.93,2.375184773,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559
AC,199102,3296327.033406517,20.064344344166667,0.7103771065901513,417102.0,187712.31525392877,11.54,9.53,21.11,3.384407444,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199102,14229453.865876447,103.74355882500001,0.5107224214628787,2512658.0,1023462.2776818613,11.54,9.53,21.11,3.384407444,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199102,14823221.144012192,259.65308991666666,0.6335894496424244,2102766.0,1738990.9037494524,11.54,9.53,21.11,3.384407444,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199102,2565896.424095234,23.56874288,0.7949403780674241,289035.0,73417.13925698027,11.54,9.53,21.11,3.384407444,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199102,64354609.657342106,653.5217101666667,0.48944096741742416,11867336.0,6134778.027999162,11.54,9.53,21.11,3.384407444,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199102,30003698.199836105,247.83318299999996,0.4258580285840909,6366132.0,3089551.361540595,11.54,9.53,21.11,3.384407444,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199102,68261732.36602943,271.37870341666667,3.8400667454242425,1601093.0,1717911.3214646133,11.54,9.53,21.11,3.384407444,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199102,32385270.04111609,242.81395836666667,1.1232137139848484,2600619.0,2525822.6310806335,11.54,9.53,21.11,3.384407444,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199102,41408451.75792564,263.33357275000003,0.9293485214454549,4017506.0,2418484.06300518,11.54,9.53,21.11,3.384407444,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
MA,199102,20851595.99627801,117.66611833333332,0.38192123212196977,4929676.0,811863.1679009743,11.54,9.53,21.11,3.384407444,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244
MG,199102,181231026.74121293,1372.8041535833333,1.040998344384091,15743536.0,15266416.381713234,11.54,9.53,21.11,3.384407444,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601
MS,199102,17506479.893719763,142.03774355833332,0.8866557556939392,1780385.0,1532034.8962115538,11.54,9.53,21.11,3.384407444,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681
MT,199102,15461215.068825865,126.23057443333332,0.682721187964394,2026069.0,913374.2202797224,11.54,9.53,21.11,3.384407444,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968
PA,199102,38745135.163495116,300.3646011666667,0.7038846614348485,4949222.0,2898502.638514072,11.54,9.53,21.11,3.384407444,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809
PB,199102,15121019.48155037,123.83785935833336,0.4273916999931818,3201324.0,1141371.951598409,11.54,9.53,21.11,3.384407444,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914
PE,199102,46990864.00518671,401.09234175,0.5963823681477273,7127956.0,3790612.697332036,11.54,9.53,21.11,3.384407444,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051
