estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
SC,2009-08-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,-0.05,2.97,0.09,0.032927,0.812,0.717,0.526,0.02,6773699.30541316,5.6479605094,55720.0,200.52233875629696,18.5,0.37
SC,2009-09-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.15,3.21,0.25,0.032927,0.812,0.717,0.526,0.04,6773699.30541316,5.6479605094,47141.0,203.31957807916643,18.5,0.37
SC,2009-10-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.06,3.5,-0.04,0.032927,0.812,0.717,0.526,0.0,6773699.30541316,5.6479605094,-999.0,212.83706049283964,18.5,0.37
SC,2009-11-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.29,3.93,0.07,0.032927,0.812,0.717,0.526,-0.07,6773699.30541316,5.6479605094,177656.0,214.34861194790747,18.5,0.37
SC,2009-12-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.1,4.31,-0.11,0.03292531818,0.812,0.717,0.526,-0.06,6773699.30541316,5.6479605094,19532.0,211.3906858251378,18.5,0.37
SC,2010-01-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.64,0.75,1.01,0.03292515,0.86,0.773,0.697,-0.02,6930862.75002851,5.6479605094,58356.0,207.88619073838933,18.5,0.37
SC,2010-02-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.36,1.54,1.09,0.032927,0.86,0.773,0.697,0.08,6930862.75002851,5.6479605094,98197.0,200.90861373056526,18.5,0.37
SC,2010-03-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.75,2.06,0.63,0.032927,0.86,0.773,0.697,0.18,6930862.75002851,5.6479605094,273330.0,207.18501061488422,18.5,0.37
SC,2010-04-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.84,2.65,0.72,0.0331908,0.86,0.773,0.697,0.29,6930862.75002851,5.6479605094,140900.0,210.63777703137364,18.5,0.37
SC,2010-05-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,1.81,3.09,1.57,0.03565185714,0.86,0.773,0.697,0.43,6930862.75002851,5.6479605094,79230.0,209.57533419124408,19.0,0.38
SC,2010-06-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,1.09,3.09,0.34,0.0376,0.86,0.773,0.697,0.6,6930862.75002851,5.6479605094,478149.0,210.34818159532486,19.0,0.38
SC,2010-07-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.44,3.1,0.22,0.03897777273,0.86,0.773,0.697,0.67,6930862.75002851,5.6479605094,137008.0,214.7333812801809,19.0,0.38
