estados,data,consumo
MT,1990-07-01,34614.0
MS,1990-07-01,33376.0
GO,1990-07-01,89991.0
DF,1990-07-01,46122.0
RO,1990-08-01,15664.0
AC,1990-08-01,2160.0
AM,1990-08-01,31642.0
RR,1990-08-01,2425.0
PA,1990-08-01,48018.0
AP,1990-08-01,2050.0
TO,1990-08-01,7364.0
MA,1990-08-01,22992.0
PI,1990-08-01,13027.0
CE,1990-08-01,48843.0
RN,1990-08-01,19977.0
PB,1990-08-01,40662.0
PE,1990-08-01,87198.0
AL,1990-08-01,29769.0
SE,1990-08-01,21485.0
BA,1990-08-01,103203.0
MG,1990-08-01,312406.0
ES,1990-08-01,57300.0
RJ,1990-08-01,261872.0
SP,1990-08-01,754077.0
PR,1990-08-01,173660.0
SC,1990-08-01,117419.0
RS,1990-08-01,163171.0
MT,1990-08-01,31166.0
MS,1990-08-01,33823.0
GO,1990-08-01,90314.0
DF,1990-08-01,48087.0
RO,1990-09-01,11225.0
AC,1990-09-01,1586.0
AM,1990-09-01,22546.0
RR,1990-09-01,1542.0
PA,1990-09-01,40892.0
AP,1990-09-01,2950.0
TO,1990-09-01,7242.0
MA,1990-09-01,23302.0
PI,1990-09-01,12008.0
CE,1990-09-01,45739.0
RN,1990-09-01,21224.0
PB,1990-09-01,27701.0
PE,1990-09-01,78153.0
AL,1990-09-01,26382.0
SE,1990-09-01,27841.0
BA,1990-09-01,108840.0
MG,1990-09-01,322199.0
ES,1990-09-01,58115.0
RJ,1990-09-01,248041.0
SP,1990-09-01,759340.0
PR,1990-09-01,146471.0
SC,1990-09-01,97397.0
RS,1990-09-01,125306.0
MT,1990-09-01,30918.0
MS,1990-09-01,31333.0
GO,1990-09-01,83691.0
DF,1990-09-01,48230.0
RO,1990-10-01,14589.0
AC,1990-10-01,345.0
AM,1990-10-01,21388.0
RR,1990-10-01,3064.0
PA,1990-10-01,43088.0
AP,1990-10-01,2930.0
TO,1990-10-01,6725.0
MA,1990-10-01,22298.0
PI,1990-10-01,11827.0
CE,1990-10-01,51587.0
RN,1990-10-01,20347.0
PB,1990-10-01,28738.0
PE,1990-10-01,86954.0
AL,1990-10-01,26039.0
SE,1990-10-01,24787.0
BA,1990-10-01,116245.0
MG,1990-10-01,290948.0
ES,1990-10-01,57249.0
RJ,1990-10-01,251829.0
SP,1990-10-01,737145.0
PR,1990-10-01,154868.0
SC,1990-10-01,98156.0
RS,1990-10-01,136306.0
MT,1990-10-01,29062.0
MS,1990-10-01,29733.0
GO,1990-10-01,75459.0
DF,1990-10-01,39902.0
RO,1990-11-01,13961.0
AC,1990-11-01,133.0
AM,1990-11-01,21923.0
RR,1990-11-01,2038.0
PA,1990-11-01,37728.0
AP,1990-11-01,2049.0
TO,1990-11-01,5767.0
MA,1990-11-01,22264.0
PI,1990-11-01,11500.0
CE,1990-11-01,46405.0
RN,1990-11-01,23190.0
PB,1990-11-01,27883.0
PE,1990-11-01,73879.0
AL,1990-11-01,27974.0
SE,1990-11-01,21628.0
BA,1990-11-01,105032.0
MG,1990-11-01,262856.0
ES,1990-11-01,50230.0
RJ,1990-11-01,231208.0
SP,1990-11-01,652475.0
PR,1990-11-01,134361.0
SC,1990-11-01,88631.0
RS,1990-11-01,126112.0
MT,1990-11-01,26353.0
MS,1990-11-01,21254.0
GO,1990-11-01,70764.0
DF,1990-11-01,33216.0
RO,1990-12-01,8050.0
AC,1990-12-01,1980.0
AM,1990-12-01,17334.0
RR,1990-12-01,2901.0
PA,1990-12-01,36887.0
AP,1990-12-01,2972.0
TO,1990-12-01,5419.0
MA,1990-12-01,23184.0
PI,1990-12-01,8664.0
CE,1990-12-01,52935.0
RN,1990-12-01,21880.0
PB,1990-12-01,29423.0
PE,1990-12-01,83452.0
AL,1990-12-01,29312.0
SE,1990-12-01,22372.0
BA,1990-12-01,104735.0
MG,1990-12-01,230041.0
ES,1990-12-01,42441.0
RJ,1990-12-01,217888.0
SP,1990-12-01,620353.0
PR,1990-12-01,129195.0
SC,1990-12-01,77739.0
RS,1990-12-01,123406.0
MT,1990-12-01,22876.0
MS,1990-12-01,21362.0
GO,1990-12-01,66608.0
DF,1990-12-01,33634.0
RO,1991-01-01,10963.0
AC,1991-01-01,1841.0
AM,1991-01-01,20044.0
RR,1991-01-01,1914.0
PA,1991-01-01,34332.0
AP,1991-01-01,2208.0
TO,1991-01-01,4789.0
MA,1991-01-01,19275.0
PI,1991-01-01,8583.0
CE,1991-01-01,46918.0
RN,1991-01-01,21238.0
PB,1991-01-01,27170.0
PE,1991-01-01,70115.0
AL,1991-01-01,23059.0
SE,1991-01-01,21172.0
BA,1991-01-01,89134.0
MG,1991-01-01,215154.0
ES,1991-01-01,47854.0
RJ,1991-01-01,229769.0
SP,1991-01-01,641424.0
PR,1991-01-01,137572.0
SC,1991-01-01,80581.0
RS,1991-01-01,133455.0
MT,1991-01-01,26430.0
MS,1991-01-01,24276.0
GO,1991-01-01,60221.0
DF,1991-01-01,35356.0
RO,1991-02-01,8741.0
AC,1991-02-01,1401.0
AM,1991-02-01,15066.0
RR,1991-02-01,1505.0
PA,1991-02-01,26275.0
AP,1991-02-01,379.0
TO,1991-02-01,4447.0
MA,1991-02-01,12590.0
PI,1991-02-01,5177.0
CE,1991-02-01,30664.0
RN,1991-02-01,19714.0
PB,1991-02-01,22140.0
PE,1991-02-01,62881.0
AL,1991-02-01,24554.0
SE,1991-02-01,15355.0
BA,1991-02-01,76916.0
MG,1991-02-01,209109.0
ES,1991-02-01,42334.0
RJ,1991-02-01,188264.0
SP,1991-02-01,545432.0
PR,1991-02-01,120587.0
SC,1991-02-01,76520.0
RS,1991-02-01,117969.0
MT,1991-02-01,19419.0
MS,1991-02-01,21473.0
GO,1991-02-01,58904.0
DF,1991-02-01,28061.0
RO,1991-03-01,8969.0
AC,1991-03-01,1908.0
AM,1991-03-01,17933.0
RR,1991-03-01,2000.0
PA,1991-03-01,33144.0
AP,1991-03-01,1464.0
TO,1991-03-01,5385.0
MA,1991-03-01,15686.0
PI,1991-03-01,6221.0
CE,1991-03-01,40246.0
RN,1991-03-01,18318.0
PB,1991-03-01,26485.0
PE,1991-03-01,80510.0
AL,1991-03-01,28653.0
SE,1991-03-01,17365.0
BA,1991-03-01,91921.0
MG,1991-03-01,243308.0
ES,1991-03-01,48910.0
RJ,1991-03-01,231697.0
SP,1991-03-01,614464.0
PR,1991-03-01,138896.0
SC,1991-03-01,91569.0
RS,1991-03-01,137200.0
MT,1991-03-01,22162.0
MS,1991-03-01,25329.0
GO,1991-03-01,60099.0
DF,1991-03-01,27270.0
RO,1991-04-01,9301.0
AC,1991-04-01,2411.0
AM,1991-04-01,20209.0
RR,1991-04-01,2258.0
PA,1991-04-01,42266.0
AP,1991-04-01,798.0
TO,1991-04-01,3904.0
MA,1991-04-01,17087.0
PI,1991-04-01,6838.0
CE,1991-04-01,45867.0
RN,1991-04-01,15497.0
PB,1991-04-01,24290.0
PE,1991-04-01,84333.0
AL,1991-04-01,28548.0
SE,1991-04-01,20113.0
BA,1991-04-01,103965.0
MG,1991-04-01,295294.0
ES,1991-04-01,57050.0
RJ,1991-04-01,265966.0
SP,1991-04-01,706004.0
PR,1991-04-01,157274.0
SC,1991-04-01,94622.0
RS,1991-04-01,142663.0
MT,1991-04-01,26487.0
MS,1991-04-01,29122.0
GO,1991-04-01,68453.0
DF,1991-04-01,32152.0
RO,1991-05-01,10374.0
AC,1991-05-01,2450.0
AM,1991-05-01,21554.0
RR,1991-05-01,3251.0
PA,1991-05-01,40351.0
AP,1991-05-01,1675.0
TO,1991-05-01,11026.0
MA,1991-05-01,13419.0
PI,1991-05-01,3596.0
CE,1991-05-01,47682.0
RN,1991-05-01,17365.0
PB,1991-05-01,24695.0
PE,1991-05-01,72652.0
AL,1991-05-01,23963.0
SE,1991-05-01,17880.0
BA,1991-05-01,104283.0
MG,1991-05-01,295055.0
ES,1991-05-01,53520.0
RJ,1991-05-01,261456.0
SP,1991-05-01,747269.0
PR,1991-05-01,161300.0
SC,1991-05-01,103026.0
RS,1991-05-01,139282.0
MT,1991-05-01,26784.0
MS,1991-05-01,33735.0
GO,1991-05-01,75307.0
DF,1991-05-01,41606.0
RO,1991-06-01,11996.0
AC,1991-06-01,4079.0
AM,1991-06-01,24655.0
RR,1991-06-01,2551.0
PA,1991-06-01,40566.0
AP,1991-06-01,2942.0
TO,1991-06-01,11358.0
MA,1991-06-01,20679.0
PI,1991-06-01,10631.0
CE,1991-06-01,46928.0
RN,1991-06-01,13242.0
PB,1991-06-01,23954.0
PE,1991-06-01,56920.0
AL,1991-06-01,21799.0
SE,1991-06-01,14699.0
BA,1991-06-01,88801.0
MG,1991-06-01,311588.0
ES,1991-06-01,47464.0
RJ,1991-06-01,246884.0
SP,1991-06-01,752334.0
PR,1991-06-01,151513.0
SC,1991-06-01,90525.0
RS,1991-06-01,135390.0
MT,1991-06-01,32408.0
MS,1991-06-01,35033.0
GO,1991-06-01,83768.0
DF,1991-06-01,48467.0
RO,1991-07-01,13123.0
AC,1991-07-01,4147.0
AM,1991-07-01,22014.0
RR,1991-07-01,2502.0
PA,1991-07-01,42091.0
AP,1991-07-01,3750.0
TO,1991-07-01,12137.0
MA,1991-07-01,18727.0
PI,1991-07-01,6260.0
CE,1991-07-01,62700.0
RN,1991-07-01,16253.0
PB,1991-07-01,26654.0
PE,1991-07-01,62909.0
AL,1991-07-01,26149.0
SE,1991-07-01,16907.0
BA,1991-07-01,105484.0
MG,1991-07-01,347023.0
ES,1991-07-01,54003.0
RJ,1991-07-01,306567.0
SP,1991-07-01,830082.0
PR,1991-07-01,175463.0
SC,1991-07-01,105946.0
RS,1991-07-01,155001.0
MT,1991-07-01,26724.0
MS,1991-07-01,37285.0
GO,1991-07-01,87518.0
DF,1991-07-01,47516.0
RO,1991-08-01,14958.0
AC,1991-08-01,2392.0
AM,1991-08-01,22029.0
RR,1991-08-01,4601.0
PA,1991-08-01,41439.0
AP,1991-08-01,2489.0
TO,1991-08-01,12027.0
MA,1991-08-01,20821.0
PI,1991-08-01,5940.0
CE,1991-08-01,65644.0
RN,1991-08-01,14258.0
PB,1991-08-01,31446.0
PE,1991-08-01,79201.0
AL,1991-08-01,23653.0
SE,1991-08-01,17856.0
BA,1991-08-01,109806.0
MG,1991-08-01,345403.0
ES,1991-08-01,60117.0
RJ,1991-08-01,277275.0
SP,1991-08-01,842100.0
PR,1991-08-01,182412.0
SC,1991-08-01,106858.0
RS,1991-08-01,142295.0
MT,1991-08-01,30153.0
MS,1991-08-01,38619.0
GO,1991-08-01,88893.0
DF,1991-08-01,56191.0
RO,1991-09-01,10718.0
AC,1991-09-01,2990.0
AM,1991-09-01,24394.0
RR,1991-09-01,1502.0
PA,1991-09-01,38506.0
AP,1991-09-01,3067.0
TO,1991-09-01,14175.0
MA,1991-09-01,17442.0
PI,1991-09-01,5023.0
CE,1991-09-01,61426.0
RN,1991-09-01,18886.0
PB,1991-09-01,33636.0
PE,1991-09-01,82513.0
AL,1991-09-01,23759.0
SE,1991-09-01,18382.0
BA,1991-09-01,106008.0
MG,1991-09-01,334377.0
ES,1991-09-01,52201.0
RJ,1991-09-01,257453.0
SP,1991-09-01,780963.0
PR,1991-09-01,168299.0
SC,1991-09-01,103955.0
RS,1991-09-01,160654.0
MT,1991-09-01,31878.0
MS,1991-09-01,36483.0
GO,1991-09-01,88818.0
DF,1991-09-01,53613.0
RO,1991-10-01,16462.0
AC,1991-10-01,2643.0
AM,1991-10-01,24158.0
RR,1991-10-01,3700.0
PA,1991-10-01,34166.0
AP,1991-10-01,4125.0
TO,1991-10-01,9871.0
MA,1991-10-01,16089.0
PI,1991-10-01,4248.0
CE,1991-10-01,62419.0
RN,1991-10-01,20908.0
PB,1991-10-01,31802.0
PE,1991-10-01,84740.0
AL,1991-10-01,29865.0
SE,1991-10-01,19687.0
BA,1991-10-01,112779.0
MG,1991-10-01,328602.0
ES,1991-10-01,57502.0
RJ,1991-10-01,254449.0
SP,1991-10-01,791012.0
PR,1991-10-01,164553.0
SC,1991-10-01,97543.0
RS,1991-10-01,151835.0
MT,1991-10-01,28227.0
MS,1991-10-01,29835.0
GO,1991-10-01,89883.0
DF,1991-10-01,45907.0
RO,1991-11-01,6808.0
