estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1986-09-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,3.97,49.75,1.09,0.1318754545,,,,,4002332.68411519
AC,1986-10-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,3.76,52.6,1.39,0.08426443478,,,,,4002332.68411519
AC,1986-11-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,5.16,60.92,2.46,0.11714645,,,,,4002332.68411519
AC,1986-12-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,7.34,79.66,7.56,0.2422191818,,,,,4002332.68411519
AC,1987-01-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,14.0,13.21,12.04,0.4984227143,,,,,4193076.57837158
AC,1987-02-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,32.45,27.51,14.11,0.89935485,,,,,4193076.57837158
AC,1987-03-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,22.59,48.39,15.0,0.5660521,,,,,4193076.57837158
AC,1987-04-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,13.26,76.73,20.08,0.7521268947,,,,,4193076.57837158
AC,1987-05-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,20.09,114.64,27.58,1.10711655,,,,,4193076.57837158
AC,1987-06-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,20.93,156.95,25.88,0.7923992381,,,,,4193076.57837158
AC,1987-07-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,7.72,180.62,9.33,0.3716497826,,,,,4193076.57837158
AC,1987-08-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,3.31,194.29,4.5,0.3709745238,,,,,4193076.57837158
AC,1987-09-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,7.46,217.19,8.02,0.3665675714,,,,,4193076.57837158
AC,1987-10-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,10.09,252.77,11.15,0.4309367619,,,,,4193076.57837158
AC,1987-11-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,13.17,305.97,14.47,0.60927945,,,,,4193076.57837158
AC,1987-12-01,267286.01830147085,0.0004327201666666667,0.7114555345000001,235057.973270698,,13.88,363.41,15.89,0.6126327273,,,,,4193076.57837158
AC,1988-01-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,17.39,18.89,19.14,0.77881775,,,,,4363469.54977332
AC,1988-02-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,15.78,37.55,17.65,0.8905768421,,,,,4363469.54977332
AC,1988-03-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,19.46,61.77,18.16,0.7000622727,,,,,4363469.54977332
AC,1988-04-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,17.02,92.97,20.33,0.9754145789,,,,,4363469.54977332
AC,1988-05-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,23.64,126.58,19.51,0.85871235,,,,,4363469.54977332
AC,1988-06-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,20.2,176.43,20.83,0.8388592727,,,,,4363469.54977332
AC,1988-07-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,19.71,237.0,21.54,1.056574048,,,,,4363469.54977332
AC,1988-08-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,21.88,309.76,22.89,0.8910637391,,,,,4363469.54977332
AC,1988-09-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,25.36,422.23,25.76,1.11606,,,,,4363469.54977332
AC,1988-10-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,34.58,556.03,27.58,1.381863053,,,,,4363469.54977332
AC,1988-11-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,30.72,739.33,27.97,1.197748238,,,,,4363469.54977332
