Data,IGP-DI - (% am) - Fundação Getulio Vargas. Conjuntura Econômica - IGP (FGV/Conj Econ - IGP) - IGP12_IGPDIG12,
198606,0.53,
198607,0.63,
198608,1.33,
198609,1.09,
198610,1.39,
198611,2.46,
198612,7.56,
198701,12.04,
198702,14.11,
198703,15,
198704,20.08,
198705,27.58,
198706,25.88,
198707,9.33,
198708,4.5,
198709,8.02,
198710,11.15,
198711,14.47,
198712,15.89,
198801,19.14,
198802,17.65,
198803,18.16,
198804,20.33,
198805,19.51,
198806,20.83,
198807,21.54,
198808,22.89,
198809,25.76,
198810,27.58,
198811,27.97,
198812,28.89,
198901,36.56,
198902,11.8,
198903,4.23,
198904,5.17,
198905,12.76,
198906,26.76,
198907,37.88,
198908,36.48,
198909,38.92,
198910,39.7,
198911,44.27,
198912,49.39,
199001,71.9,
199002,71.68,
199003,81.32,
199004,11.33,
199005,9.08,
199006,9.02,
199007,12.98,
199008,12.93,
199009,11.71,
199010,14.16,
199011,17.45,
199012,16.46,
199101,19.93,
199102,21.11,
199103,7.25,
199104,8.74,
199105,6.53,
199106,9.86,
199107,12.83,
199108,15.49,
199109,16.19,
199110,25.85,
199111,25.76,
199112,22.14,
199201,26.84,
199202,24.79,
199203,20.7,
199204,18.54,
199205,22.45,
199206,21.42,
199207,21.69,
199208,25.54,
199209,27.37,
199210,24.94,
199211,24.22,
199212,23.7,
199301,28.73,
199302,26.51,
199303,27.81,
199304,28.21,
199305,32.27,
199306,30.72,
199307,31.96,
199308,33.53,
199309,36.99,
199310,35.14,
199311,36.96,
199312,36.22,
199401,42.19,
199402,42.41,
199403,44.83,
199404,42.46,
199405,40.95,
199406,46.58,
199407,24.71,
199408,3.34,
199409,1.55,
199410,2.55,
199411,2.47,
199412,0.57,
199501,1.36,
199502,1.15,
199503,1.81,
199504,2.3,
199505,0.4,
199506,2.62,
199507,2.24,
199508,1.29,
199509,-1.08,
199510,0.23,
199511,1.33,
199512,0.27,
199601,1.79,
199602,0.76,
199603,0.22,
199604,0.7,
199605,1.68,
199606,1.22,
199607,1.09,
199608,0,
199609,0.13,
199610,0.22,
199611,0.28,
199612,0.88,
199701,1.58,
199702,0.42,
199703,1.16,
199704,0.59,
199705,0.3,
199706,0.7,
199707,0.09,
199708,-0.04,
199709,0.59,
199710,0.34,
199711,0.83,
199712,0.69,
199801,0.88,
199802,0.02,
199803,0.23,
199804,-0.13,
199805,0.23,
199806,0.28,
199807,-0.38,
199808,-0.17,
199809,-0.02,
199810,-0.03,
199811,-0.18,
199812,0.98,
199901,1.15,
199902,4.44,
199903,1.98,
199904,0.03,
199905,-0.34,
199906,1.02,
199907,1.59,
199908,1.45,
199909,1.47,
199910,1.89,
199911,2.53,
199912,1.23,
200001,1.02,
200002,0.19,
200003,0.18,
200004,0.13,
200005,0.67,
200006,0.93,
200007,2.26,
200008,1.82,
200009,0.69,
200010,0.37,
200011,0.39,
200012,0.76,
200101,0.49,
200102,0.34,
200103,0.8,
200104,1.13,
200105,0.44,
200106,1.46,
200107,1.62,
200108,0.9,
200109,0.38,
200110,1.45,
200111,0.76,
200112,0.18,
200201,0.19,
200202,0.18,
200203,0.11,
200204,0.7,
200205,1.11,
200206,1.74,
200207,2.05,
200208,2.36,
200209,2.64,
200210,4.21,
200211,5.84,
200212,2.7,
200301,2.17,
200302,1.59,
200303,1.66,
200304,0.41,
200305,-0.67,
200306,-0.7,
200307,-0.2,
200308,0.62,
200309,1.05,
200310,0.44,
200311,0.48,
200312,0.6,
200401,0.8,
200402,1.08,
200403,0.93,
200404,1.15,
200405,1.46,
200406,1.29,
200407,1.14,
200408,1.31,
200409,0.48,
200410,0.53,
200411,0.82,
200412,0.52,
200501,0.33,
200502,0.4,
200503,0.99,
200504,0.51,
200505,-0.25,
200506,-0.45,
200507,-0.4,
200508,-0.79,
200509,-0.13,
200510,0.63,
200511,0.33,
200512,0.07,
200601,0.72,
200602,-0.06,
200603,-0.45,
200604,0.02,
200605,0.38,
200606,0.67,
200607,0.17,
200608,0.41,
200609,0.24,
200610,0.81,
200611,0.57,
200612,0.26,
200701,0.43,
200702,0.23,
200703,0.22,
200704,0.14,
200705,0.16,
200706,0.26,
200707,0.37,
200708,1.39,
200709,1.17,
200710,0.75,
200711,1.05,
200712,1.47,
200801,0.99,
200802,0.38,
200803,0.7,
200804,1.12,
200805,1.88,
200806,1.89,
200807,1.12,
200808,-0.38,
200809,0.36,
200810,1.09,
200811,0.07,
200812,-0.44,
200901,0.01,
200902,-0.13,
200903,-0.84,
200904,0.04,
200905,0.18,
200906,-0.32,
200907,-0.64,
200908,0.09,
200909,0.25,
200910,-0.04,
200911,0.07,
200912,-0.11,
201001,1.01,
201002,1.09,
201003,0.63,
201004,0.72,
201005,1.57,
201006,0.34,
201007,0.22,
201008,1.1,
201009,1.1,
201010,1.03,
201011,1.58,
201012,0.38,
201101,0.98,
201102,0.96,
201103,0.61,
201104,0.5,
201105,0.01,
201106,-0.13,
201107,-0.05,
201108,0.61,
201109,0.75,
201110,0.4,
201111,0.43,
201112,-0.16,
201201,0.3,
201202,0.07,
201203,0.56,
201204,1.02,
201205,0.91,
201206,0.69,
201207,1.52,
201208,1.29,
201209,0.88,
201210,-0.31,
201211,0.25,
201212,0.66,
201301,0.31,
201302,0.2,
201303,0.31,
201304,-0.06,
201305,0.32,
201306,0.76,
201307,0.14,
201308,0.46,
201309,1.36,
201310,0.63,
201311,0.28,
201312,0.69,
201401,0.4,
201402,0.85,
201403,1.48,
201404,0.45,
201405,-0.45,
201406,-0.63,
201407,-0.55,
201408,0.06,
201409,0.02,
201410,0.59,
201411,1.14,
201412,0.38,
201501,0.67,
201502,0.53,
201503,1.21,
201504,0.92,
201505,0.4,
201506,0.68,
201507,0.58,
201508,0.4,
201509,1.42,
201510,1.76,
201511,1.19,
201512,0.44,
201601,1.53,
201602,0.79,
201603,0.43,
201604,0.36,
201605,1.13,
201606,1.63,
201607,-0.39,
201608,0.43,
201609,0.03,
201610,0.13,
201611,0.05,
201612,0.83,
201701,0.43,
201702,0.06,
201703,-0.38,
201704,-1.24,
201705,-0.51,
201706,-0.96,
201707,-0.3,
201708,0.24,
201709,0.62,
201710,0.1,
201711,0.8,
201712,0.74,
201801,0.58,
201802,0.15,
201803,0.56,
201804,0.93,
201805,1.64,
201806,1.48,
201807,0.44,
201808,0.68,
201809,1.79,
201810,0.26,
201811,-1.14,
201812,-0.45,
201901,0.07,
201902,1.25,
201903,1.07,
201904,0.9,
201905,0.4,
201906,0.63,
201907,-0.01,
201908,-0.51,
201909,0.5,
201910,0.55,
201911,0.85,
201912,1.74,
202001,0.09,
202002,0.01,
202003,1.64,
202004,0.05,
202005,1.07,
202006,1.6,
202007,2.34,
202008,3.87,
202009,3.3,
202010,3.68,
202011,2.64,
202012,0.76,
202101,2.91,
202102,2.71,
202103,2.17,
202104,2.22,
202105,3.4,
202106,0.11,
202107,1.45,
202108,-0.14,
202109,-0.55,
202110,1.6,
202111,-0.58,
202112,1.25,
202201,2.01,
202202,1.5,
202203,2.37,
202204,0.41,
202205,0.69,
202206,0.62,
202207,-0.38,
202208,-0.55,
202209,-1.22,
