data,estados,consumo
201407,MT,318475.0
201408,PA,442968.0
201409,PB,329209.0
201410,PE,887969.0
201411,PI,76803.0
201412,PR,1831492.0
201501,RJ,2991714.0
201502,RN,219588.0
201503,RO,130463.0
201504,RR,30461.0
201505,RS,1666315.0
201506,SC,1116897.0
201507,SE,223653.0
201508,SP,8555681.0
201509,TO,101698.0
201510,AC,28949.0
201511,AL,305351.0
201512,AM,257506.0
201601,AP,30431.0
201602,BA,1175363.0
201603,CE,630440.0
201604,DF,504458.0
201605,ES,621398.0
201606,GO,896990.0
201607,MA,206257.0
201608,MG,3432642.0
201609,MS,359266.0
201610,MT,315252.0
201611,PA,437674.0
201612,PB,330444.0
201701,PE,887126.0
201702,PI,73473.0
201703,PR,1821109.0
201704,RJ,2992043.0
201705,RN,220699.0
201706,RO,127274.0
201707,RR,27560.0
201708,RS,1668285.0
201709,SC,1120404.0
201710,SE,220740.0
201711,SP,8542082.0
201712,TO,101433.0
201801,AC,27791.0
201802,AL,306278.0
201803,AM,254649.0
201804,AP,31700.0
201805,BA,1167999.0
201806,CE,649329.0
201807,DF,508939.0
201808,ES,616428.0
201809,GO,905576.0
201810,MA,204378.0
201811,MG,3423307.0
201812,MS,362058.0
201901,MT,316689.0
201902,PA,433848.0
201903,PB,327898.0
201904,PE,889195.0
201905,PI,67789.0
201906,PR,1829506.0
201907,RJ,2978432.0
201908,RN,222972.0
201909,RO,124089.0
201910,RR,26146.0
201911,RS,1658456.0
201912,SC,1130720.0
199101,SE,220127.0
199102,SP,8509367.0
199103,TO,101631.0
199104,AC,30140.0
199105,AL,301440.0
199106,AM,255935.0
199107,AP,34092.0
199108,BA,1158184.0
199109,CE,665453.0
199110,DF,516450.0
199111,ES,614671.0
199112,GO,904097.0
199201,MA,203041.0
199202,MG,3397666.0
199203,MS,359263.0
199204,MT,318191.0
199205,PA,432656.0
199206,PB,331328.0
199207,PE,889877.0
199208,PI,66724.0
199209,PR,1842665.0
199210,RJ,3000859.0
199211,RN,219182.0
199212,RO,121019.0
199301,RR,24641.0
199302,RS,1651662.0
199303,SC,1131228.0
199304,SE,222639.0
199305,SP,8543056.0
199306,TO,101429.0
199307,AC,28668.0
199308,AL,291133.0
199309,AM,250422.0
199310,AP,35539.0
199311,BA,1148156.0
199312,CE,671609.0
199401,DF,528782.0
199402,ES,610448.0
199403,GO,905082.0
199404,MA,200333.0
199405,MG,3401438.0
199406,MS,356993.0
199407,MT,313158.0
199408,PA,426130.0
199409,PB,326307.0
199410,PE,865830.0
199411,PI,62328.0
199412,PR,1836083.0
199501,RJ,2979201.0
199502,RN,213078.0
199503,RO,117452.0
199504,RR,24979.0
199505,RS,1637717.0
199506,SC,1132968.0
199507,SE,225605.0
199508,SP,8579518.0
199509,TO,101495.0
199510,AC,27004.0
199511,AL,280860.0
199512,AM,242894.0
199601,AP,39072.0
199602,BA,1127389.0
199603,CE,668362.0
199604,DF,536498.0
199605,ES,596089.0
199606,GO,891562.0
199607,MA,199672.0
199608,MG,3337898.0
199609,MS,349177.0
199610,MT,309591.0
199611,PA,405625.0
199612,PB,322844.0
199701,PE,840399.0
199702,PI,59859.0
199703,PR,1805564.0
199704,RJ,2905743.0
199705,RN,211793.0
199706,RO,114912.0
199707,RR,23321.0
199708,RS,1602979.0
199709,SC,1122369.0
199710,SE,223054.0
199711,SP,8475345.0
199712,TO,104133.0
199801,AC,27447.0
199802,AL,276032.0
199803,AM,236255.0
199804,AP,41783.0
199805,BA,1108500.0
199806,CE,664608.0
199807,DF,537318.0
199808,ES,586975.0
199809,GO,876792.0
199810,MA,207276.0
199811,MG,3276077.0
199812,MS,337954.0
199901,MT,305158.0
199902,PA,387648.0
199903,PB,320290.0
199904,PE,823139.0
199905,PI,61676.0
199906,PR,1770989.0
199907,RJ,2842600.0
199908,RN,208396.0
199909,RO,110757.0
199910,RR,20070.0
199911,RS,1581247.0
199912,SC,1105635.0
200001,SE,226280.0
200002,SP,8368734.0
200003,TO,100466.0
200004,AC,24565.0
200005,AL,271693.0
200006,AM,230968.0
200007,AP,42655.0
200008,BA,1100836.0
200009,CE,664931.0
200010,DF,537107.0
200011,ES,583628.0
200012,GO,852768.0
