,data,estados,consumo
266,201203,AC,9847.0
267,201204,AC,14828.0
268,201205,AC,14321.0
269,201206,AC,14078.0
270,201207,AC,16477.0
271,201208,AC,17237.0
272,201209,AC,17098.0
273,201210,AC,18616.0
274,201211,AC,19385.0
275,201212,AC,11905.0
276,201301,AC,13358.0
277,201302,AC,10744.0
278,201303,AC,14485.0
279,201304,AC,14621.0
280,201305,AC,15229.0
281,201306,AC,13572.0
282,201307,AC,14862.0
283,201308,AC,21954.0
284,201309,AC,19974.0
285,201310,AC,21355.0
286,201311,AC,20172.0
287,201312,AC,13346.0
288,201401,AC,14602.0
289,201402,AC,17681.0
290,201403,AC,6222.0
291,201404,AC,18829.0
292,201405,AC,16499.0
293,201406,AC,15178.0
294,201407,AC,22065.0
295,201408,AC,19242.0
296,201409,AC,23464.0
297,201410,AC,19835.0
298,201411,AC,21601.0
299,201412,AC,15832.0
300,201501,AC,10781.0
301,201502,AC,18631.0
302,201503,AC,14777.0
303,201504,AC,13611.0
304,201505,AC,16117.0
305,201506,AC,16339.0
306,201507,AC,18941.0
307,201508,AC,18967.0
308,201509,AC,20924.0
309,201510,AC,20363.0
310,201511,AC,16027.0
311,201512,AC,19027.0
312,201601,AC,32110.0
313,201602,AC,34825.0
314,201603,AC,34328.0
315,201604,AC,35450.0
316,201605,AC,36695.0
317,201606,AC,36606.0
318,201607,AC,40673.0
319,201608,AC,40519.0
320,201609,AC,35289.0
321,201610,AC,37441.0
322,201611,AC,34310.0
323,201612,AC,32447.0
324,201701,AC,10406.0
325,201702,AC,9081.0
326,201703,AC,9545.0
327,201704,AC,10130.0
328,201705,AC,14451.0
329,201706,AC,13218.0
330,201707,AC,13552.0
331,201708,AC,15826.0
332,201709,AC,14869.0
333,201710,AC,14734.0
334,201711,AC,12754.0
335,201712,AC,11925.0
336,201801,AC,13114.0
337,201802,AC,8920.0
338,201803,AC,9724.0
339,201804,AC,9737.0
340,201805,AC,10136.0
341,201806,AC,14403.0
342,201807,AC,12871.0
343,201808,AC,15749.0
344,201809,AC,14269.0
345,201810,AC,15367.0
346,201811,AC,14595.0
347,201812,AC,9811.0
348,201901,AC,11188.0
349,201902,AC,10381.0
350,201903,AC,8080.0
351,201904,AC,11154.0
352,201905,AC,12508.0
353,201906,AC,12126.0
354,201907,AC,14496.0
355,201908,AC,16723.0
356,201909,AC,15253.0
357,201910,AC,16531.0
358,201911,AC,15206.0
359,201912,AC,10160.0
360,199001,AL,27421
361,199002,AL,20324
362,199003,AL,18584
363,199004,AL,20972
364,199005,AL,30874
365,199006,AL,27272
366,199007,AL,28390
367,199008,AL,29769
368,199009,AL,26382
369,199010,AL,26039
370,199011,AL,27974
371,199012,AL,29312
372,199101,AL,23059
373,199102,AL,24554
374,199103,AL,28653
375,199104,AL,28548
376,199105,AL,23963
377,199106,AL,21799
378,199107,AL,26149
379,199108,AL,23653
380,199109,AL,23759
381,199110,AL,29865
382,199111,AL,26268
383,199112,AL,25081
384,199201,AL,23986
385,199202,AL,19716
386,199203,AL,18346
387,199204,AL,18275
388,199205,AL,19135
389,199206,AL,17460
390,199207,AL,19658
391,199208,AL,19655
392,199209,AL,20255
393,199210,AL,19652
394,199211,AL,22649
395,199212,AL,25737
396,199301,AL,18607
397,199302,AL,15650
398,199303,AL,24592
399,199304,AL,20110
400,199305,AL,13912
401,199306,AL,15900
402,199307,AL,16059
403,199308,AL,17159
404,199309,AL,21874
405,199310,AL,20202
406,199311,AL,21461
407,199312,AL,19078
408,199401,AL,21593
409,199402,AL,11364
410,199403,AL,17671
411,199404,AL,14407
412,199405,AL,15535
413,199406,AL,14669
414,199407,AL,16385
415,199408,AL,18634
416,199409,AL,19636
417,199410,AL,21738
418,199411,AL,24213
419,199412,AL,24010
420,199501,AL,23083
421,199502,AL,19589
422,199503,AL,24093
423,199504,AL,15932
424,199505,AL,15963
425,199506,AL,14231
426,199507,AL,16378
427,199508,AL,16866
428,199509,AL,16919
429,199510,AL,19499
430,199511,AL,19887
431,199512,AL,22828
432,199601,AL,24684
433,199602,AL,19638
434,199603,AL,22878
435,199604,AL,18706
436,199605,AL,20707
437,199606,AL,16400
438,199607,AL,19799
439,199608,AL,19437
440,199609,AL,22400
441,199610,AL,24490
442,199611,AL,22115
443,199612,AL,25569
444,199701,AL,23870
445,199702,AL,20753
446,199703,AL,22105
447,199704,AL,22099
448,199705,AL,21861
449,199706,AL,22016
450,199707,AL,24612
451,199708,AL,27414
452,199709,AL,32522
453,199710,AL,37841
454,199711,AL,39829
455,199712,AL,39743
456,199801,AL,41762
457,199802,AL,33114
458,199803,AL,38870
459,199804,AL,32830
460,199805,AL,31908
461,199806,AL,27182
462,199807,AL,30415
463,199808,AL,30677
464,199809,AL,33704
465,199810,AL,37876
466,199811,AL,39406
467,199812,AL,38094
468,199901,AL,35204
469,199902,AL,29931
470,199903,AL,34961
471,199904,AL,29729
472,199905,AL,29420
473,199906,AL,28380
474,199907,AL,31098
475,199908,AL,31311
476,199909,AL,32344
477,199910,AL,32497
478,199911,AL,35886
479,199912,AL,32988
480,200001,AL,32682
481,200002,AL,28067
482,200003,AL,29678
483,200004,AL,25424
484,200005,AL,28986
485,200006,AL,24122
486,200007,AL,25089
487,200008,AL,30197
488,200009,AL,28010
489,200010,AL,33815
490,200011,AL,36088
491,200012,AL,35240
492,200101,AL,29583.333333333332
493,200102,AL,29583.333333333332
494,200103,AL,29583.333333333332
495,200104,AL,29583.333333333332
496,200105,AL,29583.333333333332
497,200106,AL,29583.333333333332
498,200107,AL,29583.333333333332
499,200108,AL,29583.333333333332
500,200109,AL,29583.333333333332
501,200110,AL,29583.333333333332
502,200111,AL,29583.333333333332
503,200112,AL,29583.333333333332
504,200201,AL,26333.333333333332
505,200202,AL,26333.333333333332
506,200203,AL,26333.333333333332
507,200204,AL,26333.333333333332
508,200205,AL,26333.333333333332
509,200206,AL,26333.333333333332
510,200207,AL,26333.333333333332
511,200208,AL,26333.333333333332
512,200209,AL,26333.333333333332
513,200210,AL,26333.333333333332
514,200211,AL,26333.333333333332
515,200212,AL,26333.333333333332
516,200301,AL,30109.0
517,200302,AL,27684.0
518,200303,AL,26534.0
519,200304,AL,25109.0
520,200305,AL,25171.0
521,200306,AL,22645.0
522,200307,AL,24689.0
523,200308,AL,23364.0
524,200309,AL,26382.0
525,200310,AL,26634.0
526,200311,AL,27789.0
527,200312,AL,30032.0
528,200401,AL,24166.0
529,200402,AL,21774.0
530,200403,AL,28228.0
531,200404,AL,25525.0
532,200405,AL,26207.0
533,200406,AL,19604.0
534,200407,AL,25229.0
535,200408,AL,22412.0
536,200409,AL,27370.0
537,200410,AL,26452.0
538,200411,AL,26598.0
539,200412,AL,30970.0
540,200501,AL,29095.0
541,200502,AL,25241.0
542,200503,AL,29040.0
543,200504,AL,25685.0
544,200505,AL,21197.0
545,200506,AL,20299.0
546,200507,AL,22784.0
547,200508,AL,23659.0
548,200509,AL,23770.0
549,200510,AL,25386.0
550,200511,AL,26776.0
551,200512,AL,33636.0
552,200601,AL,30849.0
553,200602,AL,25234.0
554,200603,AL,33238.0
555,200604,AL,23230.0
556,200605,AL,24302.0
557,200606,AL,19608.0
558,200607,AL,21908.0
559,200608,AL,26927.0
560,200609,AL,26885.0
561,200610,AL,27027.0
562,200611,AL,30102.0
563,200612,AL,28794.0
564,200701,AL,34100.0
565,200702,AL,27356.0
566,200703,AL,31753.0
567,200704,AL,28188.0
568,200705,AL,29624.0
569,200706,AL,25216.0
570,200707,AL,26504.0
571,200708,AL,27872.0
572,200709,AL,28082.0
573,200710,AL,35652.0
574,200711,AL,35590.0
575,200712,AL,33937.0
576,200801,AL,38282
577,200802,AL,32977
578,200803,AL,35662
579,200804,AL,39980
580,200805,AL,34089
581,200806,AL,32715
582,200807,AL,34859
583,200808,AL,36732
584,200809,AL,37753
585,200810,AL,43724
586,200811,AL,38241
587,200812,AL,41321
588,200901,AL,39282
589,200902,AL,33478
590,200903,AL,41948
591,200904,AL,38575
592,200905,AL,33137
593,200906,AL,31802
594,200907,AL,39047
595,200908,AL,36258
596,200909,AL,40763
597,200910,AL,46242
598,200911,AL,45302
599,200912,AL,45238
600,201001,AL,46449
601,201002,AL,41239
602,201003,AL,51021
603,201004,AL,46153
604,201005,AL,47980
605,201006,AL,39314
606,201007,AL,45354
607,201008,AL,51514
608,201009,AL,50908
609,201010,AL,50898
610,201011,AL,55138
611,201012,AL,57804
612,201101,AL,61858
613,201102,AL,60153
614,201103,AL,76210
615,201104,AL,59365.0
616,201105,AL,51659.0
617,201106,AL,55008.0
618,201107,AL,53624.0
619,201108,AL,63884.0
620,201109,AL,59893.0
621,201110,AL,65805.0
622,201111,AL,66635.0
623,201112,AL,68787.0
624,201201,AL,72505.0
625,201202,AL,70893.0
626,201203,AL,89431.0
627,201204,AL,73884.0
628,201205,AL,75662.0
629,201206,AL,60902.0
630,201207,AL,60518.0
631,201208,AL,64379.0
632,201209,AL,64240.0
633,201210,AL,73016.0
634,201211,AL,74154.0
635,201212,AL,65280.0
636,201301,AL,73974.0
637,201302,AL,63596.0
638,201303,AL,72665.0
639,201304,AL,71362.0
640,201305,AL,62454.0
641,201306,AL,56918.0
642,201307,AL,59718.0
643,201308,AL,60978.0
644,201309,AL,65895.0
645,201310,AL,73594.0
646,201311,AL,68060.0
647,201312,AL,62161.0
648,201401,AL,72995.0
649,201402,AL,78386.0
650,201403,AL,70339.0
651,201404,AL,68117.0
652,201405,AL,60946.0
653,201406,AL,55187.0
654,201407,AL,62205.0
655,201408,AL,58804.0
656,201409,AL,63077.0
657,201410,AL,68577.0
658,201411,AL,72559.0
659,201412,AL,62390.0
660,201501,AL,57164.0
661,201502,AL,65022.0
662,201503,AL,65016.0
663,201504,AL,53814.0
664,201505,AL,49929.0
665,201506,AL,41744.0
666,201507,AL,44337.0
667,201508,AL,49858.0
668,201509,AL,51149.0
669,201510,AL,52656.0
670,201511,AL,42501.0
671,201512,AL,39137.0
672,201601,AL,38458.0
673,201602,AL,40282.0
674,201603,AL,44091.0
675,201604,AL,39374.0
676,201605,AL,40904.0
677,201606,AL,38419.0
678,201607,AL,39849.0
679,201608,AL,38757.0
680,201609,AL,37084.0
681,201610,AL,35353.0
682,201611,AL,38823.0
683,201612,AL,40483.0
684,201701,AL,38666.0
685,201702,AL,32321.0
686,201703,AL,41937.0
687,201704,AL,31982.0
688,201705,AL,28499.0
689,201706,AL,22626.0
690,201707,AL,21340.0
691,201708,AL,26848.0
692,201709,AL,28074.0
693,201710,AL,29941.0
694,201711,AL,28977.0
695,201712,AL,31580.0
696,201801,AL,29991.0
697,201802,AL,26820.0
698,201803,AL,29446.0
699,201804,AL,27666.0
700,201805,AL,22013.0
701,201806,AL,28025.0
702,201807,AL,25648.0
703,201808,AL,31782.0
704,201809,AL,27768.0
705,201810,AL,33073.0
706,201811,AL,30389.0
707,201812,AL,27657.0
708,201901,AL,32388.0
