estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego,producao,consumo
DF,200303,80883101.05228993,43610567.40276154,3.414773305592423,12807197.0,4109314.6989312926,90.08,27.77,1.66,0.06812395,0.8317,0.6069,0.63,3.95,6172460.00795063,14.215384670499999,115612.0,49006.0
ES,200303,38882597.00657446,20994034.972727906,1.1010162732030302,2415077.0,2623566.286122356,90.08,27.77,1.66,0.06812395,0.7944,0.8224,0.5396,3.95,6172460.00795063,10.6660929108,87014.0,53847.0
GO,200303,59766821.701537706,32284980.233302925,1.039288450906818,1133265.0,3614852.784835311,90.08,27.77,1.66,0.06812395,0.7892,0.7038,0.5011,3.95,6172460.00795063,6.9037377937999995,83636.0,101442.0
MA,200303,25756432.15722629,13928872.65631868,0.4025418964583334,217583.0,2323675.3487291145,90.08,27.77,1.66,0.06812395,0.6814,0.7028000000000001,0.387,3.95,6172460.00795063,5.9295673225,60687.0,27900.0
MG,200303,185634573.69574165,100263609.98503168,0.9180658020340908,9138463.0,10030356.130797226,90.08,27.77,1.66,0.06812395,0.7763,0.5553,0.5002,3.95,6172460.00795063,10.107449129299999,101775.0,284168.0
MS,200303,26195555.26271235,14187471.142217934,1.1094296348386363,4542048.0,1292837.832185068,90.08,27.77,1.66,0.06812395,0.7643,0.7029000000000001,0.4887,3.95,6172460.00795063,8.495092209700001,94627.0,33559.0
MT,200303,30318698.965428594,16441742.166969392,1.0541755124689394,1491878.0,1996482.8030219718,90.08,27.77,1.66,0.06812395,0.7827,0.7019,0.5204,3.95,6172460.00795063,7.3542245385000005,122799.0,44907.0
PA,200303,41618608.27327512,22467166.166369684,0.5842947581666667,31588794.0,2157616.3016722817,90.08,27.77,1.66,0.06812395,0.7053,0.6950000000000001,0.3982,3.95,6172460.00795063,10.770494261700001,114467.0,76122.0
PB,200303,19894903.684096355,10744534.297732266,0.5168629939916667,918400.0,1087261.6298676638,90.08,27.77,1.66,0.06812395,0.7719,0.6042,0.5658000000000001,3.95,6172460.00795063,8.2913248577,108359.0,28775.0
PE,200303,53687208.7453685,28949505.22600495,0.6027044723287879,428006.0,5295116.165941507,90.08,27.77,1.66,0.06812395,0.7442,0.7199,0.3817,3.95,6172460.00795063,11.005399803,112577.0,83033.0
PI,200303,11067894.86759054,5980392.868120218,0.3465991361181819,2548092.0,773014.0711338646,90.08,27.77,1.66,0.06812395,0.7302,0.6145,0.4326,3.95,6172460.00795063,5.904790627300001,120530.0,16067.0
PR,200303,135564481.1076515,73345313.94742276,1.2550815359075758,2165852.0,7098692.727729892,90.08,27.77,1.66,0.06812395,0.7063,0.6324,0.3748,3.95,6172460.00795063,7.7044727463,107469.0,180801.0
RJ,200303,273730458.39864635,147699084.5060992,1.68689118559697,299305.0,19088415.579658914,90.08,27.77,1.66,0.06812395,0.7685,0.5797,0.5735,3.95,6172460.00795063,11.7121955601,126390.0,229385.0
RN,200303,20873646.325929224,11258928.263545668,0.6637525105522729,12014023.0,1584691.8977646702,90.08,27.77,1.66,0.06812395,0.7276,0.7561,0.4563,3.95,6172460.00795063,7.255708857899999,123096.0,30150.0
RO,200303,11751499.964498458,6357019.949795952,0.743719635955303,6433713.0,978122.1306997172,90.08,27.77,1.66,0.06812395,0.8148,0.629,0.5461,3.95,6172460.00795063,6.8787887412,131225.0,13888.0
RR,200303,3827610.93603452,2064338.1709546824,0.9980429924469696,1639035.0,338851.9161300834,90.08,27.77,1.66,0.06812395,0.7216,0.7347,0.4146,3.95,6172460.00795063,5.8989895206,110056.0,8659.0
RS,200303,148825976.41189998,80448906.88617691,1.2974384198871214,2649747.0,7148924.793443767,90.08,27.77,1.66,0.06812395,0.7446,0.6714,0.5083,3.95,6172460.00795063,7.708314153300001,136397.0,174880.0
SC,200303,82868051.59892988,44763200.1978676,1.3592611907053032,4098513.0,4891221.116458703,90.08,27.77,1.66,0.06812395,0.8264,0.6649,0.5773,3.95,6172460.00795063,4.9902867955,128187.0,133135.0
