index,estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
90,AC,1992-07-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,23.53,316.84,21.69,1.017275304,0.645,0.574,0.176,14.09,4879149.90415669,9.2163144702,,,,
91,AC,1992-08-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,17.28,409.13,25.54,1.093031714,0.645,0.574,0.176,14.52,4879149.90415669,9.2163144702,,,,
92,AC,1992-09-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,34.3,534.53,27.37,1.169587333,0.645,0.574,0.176,15.03,4879149.90415669,9.2163144702,,,,
93,AC,1992-10-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.91,694.69,24.94,1.189126952,0.645,0.574,0.176,15.53,4879149.90415669,9.2163144702,,,,
94,AC,1992-11-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,29.16,873.41,24.22,1.1785,0.645,0.574,0.176,15.8,4879149.90415669,9.2163144702,,,,
95,AC,1992-12-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.84,1119.1,23.7,1.053000091,0.645,0.574,0.176,16.9,4879149.90415669,9.2163144702,,,,
96,AC,1993-01-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,36.9,30.35,28.73,1.26231665,0.645,0.574,0.176,17.6,4984414.32371892,10.0564899114,,,,
97,AC,1993-02-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,22.59,62.91,26.51,1.420536944,0.645,0.574,0.176,18.63,4984414.32371892,10.0564899114,,,,
98,AC,1993-03-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,32.61,107.32,27.81,1.09134787,0.645,0.574,0.176,19.85,4984414.32371892,10.0564899114,,,,
99,AC,1993-04-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,21.28,164.85,28.21,1.412280737,0.645,0.574,0.176,20.33,4984414.32371892,10.0564899114,,,,
100,AC,1993-05-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,40.6,238.19,32.27,1.290365143,0.645,0.574,0.176,21.44,4984414.32371892,10.0564899114,,,,
101,AC,1993-06-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,27.13,339.88,30.72,1.327698476,0.645,0.574,0.176,21.7,4984414.32371892,10.0564899114,,,,
102,AC,1993-07-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,33.73,475.02,31.96,1.295272727,0.645,0.574,0.176,21.74,4984414.32371892,10.0564899114,,,,
103,AC,1993-08-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,28.42,664.54,33.53,1.360999955,0.645,0.574,0.176,22.34,4984414.32371892,10.0564899114,,,,
104,AC,1993-09-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,40.09,937.41,36.99,1.518460333,0.645,0.574,0.176,23.61,4984414.32371892,10.0564899114,,,,
105,AC,1993-10-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,34.03,1289.3,35.14,1.6381666,0.645,0.574,0.176,24.53,4984414.32371892,10.0564899114,,,,
106,AC,1993-11-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,38.4,1783.33,36.96,1.63748325,0.645,0.574,0.176,25.36,4984414.32371892,10.0564899114,,,,
107,AC,1993-12-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,32.99,2477.15,36.22,1.485579739,0.645,0.574,0.176,27.12,4984414.32371892,10.0564899114,,,,
108,AC,1994-01-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,45.93,41.31,42.19,1.709619,0.645,0.574,0.176,29.68,5101688.21675297,10.0564899114,,,,
109,AC,1994-02-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,39.14,98.22,42.41,1.966870333,0.645,0.574,0.176,32.08,5101688.21675297,10.0564899114,,,,
110,AC,1994-03-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,55.71,182.96,44.83,1.748287864,0.645,0.574,0.176,34.79,5101688.21675297,10.0564899114,,,,
111,AC,1994-04-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,45.6,303.73,42.46,2.029579053,0.645,0.574,0.176,37.59,5101688.21675297,10.0564899114,,,,
112,AC,1994-05-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,45.6,481.49,40.95,1.796439545,0.645,0.574,0.176,38.24,5101688.21675297,10.0564899114,,,,
113,AC,1994-06-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,44.74,757.29,46.58,1.969587333,0.645,0.574,0.176,37.97,5101688.21675297,10.0564899114,,,,
114,AC,1994-07-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,3.58,815.93,24.71,0.3328668,0.645,0.574,0.176,28.3,5101688.21675297,10.0564899114,,,,
