estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg,consumo
AC,2004-04-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.16,1.85,0.93,0.05956991304,0.694,0.612,0.325,1.24,6261937.06181048,7.4474670142,40016.0,-1.0,-1.0,-1.0,2994.0
AC,2004-05-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.59,2.23,1.15,0.0587633,0.694,0.612,0.325,1.21,6261937.06181048,7.4474670142,198909.0,-1.0,-1.0,-1.0,3720.0
AC,2004-06-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.83,2.75,1.46,0.0581277619,0.694,0.612,0.325,1.35,6261937.06181048,7.4474670142,23401.0,-1.0,-1.0,-1.0,4275.0
AC,2004-07-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.7,3.48,1.29,0.05822585714,0.694,0.612,0.325,1.59,6261937.06181048,7.4474670142,38749.0,-1.0,-1.0,-1.0,4699.0
AC,2004-08-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.12,4.42,1.14,0.05813868182,0.694,0.612,0.325,1.72,6261937.06181048,7.4474670142,365964.0,-1.0,-1.0,-1.0,6416.0
AC,2004-09-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.81,5.14,1.31,0.05843936364,0.694,0.612,0.325,1.83,6261937.06181048,7.4474670142,51996.0,-1.0,-1.0,-1.0,6427.0
AC,2004-10-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.58,5.49,0.48,0.05923480952,0.694,0.612,0.325,1.87,6261937.06181048,7.4474670142,203335.0,-1.0,-1.0,-1.0,6386.0
AC,2004-11-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.19,5.95,0.53,0.06031435,0.694,0.612,0.325,1.76,6261937.06181048,7.4474670142,126636.0,-1.0,-1.0,-1.0,5591.0
AC,2004-12-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.71,6.68,0.82,0.0621806,0.694,0.612,0.325,1.71,6261937.06181048,7.4474670142,-999.0,-1.0,-1.0,-1.0,5422.0
AC,2005-01-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.51,7.6,0.52,0.06401773913,0.694,0.612,0.325,1.74,6261937.06181048,10.247831928,175367.0,-1.0,-1.0,-1.0,5807.0
AC,2005-02-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.75,0.58,0.33,0.0654687619,0.694,0.612,0.325,1.57,6344077.42160595,10.247831928,-999.0,-1.0,-1.0,-1.0,5242.0
AC,2005-03-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.44,1.17,0.4,0.06729072222,0.694,0.612,0.325,1.49,6344077.42160595,10.247831928,-999.0,-1.0,-1.0,-1.0,4965.0
AC,2005-04-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.67,1.79,0.99,0.068961,0.694,0.612,0.325,1.37,6344077.42160595,10.247831928,49757.0,-1.0,-1.0,-1.0,5854.0
AC,2005-05-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,0.72,2.68,0.51,0.07010755,0.694,0.612,0.325,1.37,6344077.42160595,10.247831928,207935.0,-1.0,-1.0,-1.0,5892.0
AC,2005-06-01,445218.4336703625,288107.59078575665,0.7063281873416667,439046.164591528,630328.0,2.09,3.18,-0.25,0.07106719048,0.694,0.612,0.325,1.18,6344077.42160595,10.247831928,27464.0,-1.0,-1.0,-1.0,7760.0
