data;estados;consumo;y_pred
2017-07-01;AC;13552,0;6075,432700166115
2017-08-01;AC;15826,0;16946,49772349991
2017-09-01;AC;14869,0;6396,743121933585
2017-10-01;AC;14734,0;7129,504599680207
2017-11-01;AC;12754,0;5418,287364743082
2017-12-01;AC;11925,0;2236,6229343833256
2018-01-01;AC;13114,0;3827,3010396843456
2018-02-01;AC;8920,0;3600,7436954661825
2018-03-01;AC;9724,0;2320,2015573873796
2018-04-01;AC;9737,0;4498,354364323241
2018-05-01;AC;10136,0;7693,990663824268
2018-06-01;AC;14403,0;2715,6298686751834
2018-07-01;AC;12871,0;1404,902965140398
2018-08-01;AC;15749,0;11520,858492137908
2018-09-01;AC;14269,0;1767,453833833788
2018-10-01;AC;15367,0;3163,1137347203476
2018-11-01;AC;14595,0;1234,488133748484
2018-12-01;AC;9811,0;-372,90234918710485
2019-01-01;AC;11188,0;2044,5689261004882
2019-02-01;AC;10381,0;3966,6102074213413
2019-03-01;AC;8080,0;2618,505509180206
2019-04-01;AC;11154,0;3663,101168694164
2019-05-01;AC;12508,0;5606,785902999123
2019-06-01;AC;12126,0;1458,9663638552738
2019-07-01;AC;14496,0;2210,8286384069215
2019-08-01;AC;16723,0;12869,191674343063
2019-09-01;AC;15253,0;2745,492291065122
2019-10-01;AC;16531,0;6077,447700502511
2019-11-01;AC;15206,0;3867,953282549526
2019-12-01;AC;10160,0;366,43384213490936
2003-01-01;AL;30109,0;
2003-02-01;AL;27684,0;
2003-03-01;AL;26534,0;
2003-04-01;AL;25109,0;
2003-05-01;AL;25171,0;
2003-06-01;AL;22645,0;
2003-07-01;AL;24689,0;
2003-08-01;AL;23364,0;
2003-09-01;AL;26382,0;
2003-10-01;AL;26634,0;
2003-11-01;AL;27789,0;
2003-12-01;AL;30032,0;
2004-01-01;AL;24166,0;
2004-02-01;AL;21774,0;
2004-03-01;AL;28228,0;
2004-04-01;AL;25525,0;
2004-05-01;AL;26207,0;
2004-06-01;AL;19604,0;
2004-07-01;AL;25229,0;
2004-08-01;AL;22412,0;
2004-09-01;AL;27370,0;
2004-10-01;AL;26452,0;
2004-11-01;AL;26598,0;
2004-12-01;AL;30970,0;
2005-01-01;AL;29095,0;
2005-02-01;AL;25241,0;
2005-03-01;AL;29040,0;
2005-04-01;AL;25685,0;
2005-05-01;AL;21197,0;
2005-06-01;AL;20299,0;
2005-07-01;AL;22784,0;
2005-08-01;AL;23659,0;
2005-09-01;AL;23770,0;
2005-10-01;AL;25386,0;
2005-11-01;AL;26776,0;
2005-12-01;AL;33636,0;
2006-01-01;AL;30849,0;
2006-02-01;AL;25234,0;
2006-03-01;AL;33238,0;
2006-04-01;AL;23230,0;
2006-05-01;AL;24302,0;
2006-06-01;AL;19608,0;
