data,estados,previsao,dado_real,regiao
2017-11-01,MS,65461.773,71187.0,CENTRO OESTE
2017-11-01,MT,102225.55,112725.0,CENTRO OESTE
2017-11-01,PA,143211.38,135172.0,NORTE
2017-11-01,PB,74125.05,64220.0,NORDESTE
2017-11-01,PE,160785.42,152600.0,NORDESTE
2017-11-01,PI,55828.86,70320.0,NORDESTE
2017-11-01,PR,343889.9,301687.0,SUL
2017-11-01,RJ,252846.42,193661.0,SUDESTE
2017-11-01,RN,62227.04,48874.0,NORDESTE
2017-11-01,RO,35661.504,33527.0,NORTE
2017-11-01,RR,8544.612,9161.0,NORTE
2017-11-01,RS,241952.4,238414.0,SUL
2017-11-01,SC,242086.69,263751.0,SUL
2017-11-01,SE,37255.875,39875.0,NORDESTE
2017-11-01,SP,917236.6,804767.0,SUDESTE
2017-11-01,TO,32914.547,40896.0,NORTE
2017-12-01,AC,10872.025,11925.0,NORTE
2017-12-01,AL,43871.81,31580.0,NORDESTE
2017-12-01,AM,52260.176,74919.0,NORTE
2017-12-01,AP,9697.688,11713.0,NORTE
2017-12-01,BA,280344.44,231748.0,NORDESTE
2017-12-01,CE,141554.66,173278.0,NORDESTE
2017-12-01,DF,54716.797,40698.0,CENTRO OESTE
2017-12-01,ES,76407.79,87540.0,SUDESTE
2017-12-01,GO,213333.25,143721.0,CENTRO OESTE
2017-12-01,MA,84411.01,74061.0,NORDESTE
2017-12-01,MG,436634.25,338033.0,SUDESTE
2017-12-01,MS,66985.305,58020.0,CENTRO OESTE
2017-12-01,MT,113104.85,90828.0,CENTRO OESTE
2017-12-01,PA,140129.3,131376.0,NORTE
2017-12-01,PB,76902.95,63021.0,NORDESTE
2017-12-01,PE,167244.08,136567.0,NORDESTE
2017-12-01,PI,52208.4,67364.0,NORDESTE
2017-12-01,PR,354997.2,268901.0,SUL
2017-12-01,RJ,274340.2,175783.0,SUDESTE
2017-12-01,RN,64805.117,48506.0,NORDESTE
2017-12-01,RO,40340.75,25616.0,NORTE
2017-12-01,RR,8250.378,8634.0,NORTE
2017-12-01,RS,244628.3,213179.0,SUL
2017-12-01,SC,237908.53,211136.0,SUL
2017-12-01,SE,37180.023,38984.0,NORDESTE
2017-12-01,SP,923804.2,712733.0,SUDESTE
2017-12-01,TO,30924.332,35255.0,NORTE
2018-01-01,AC,11375.019,13114.0,NORTE
2018-01-01,AL,44349.125,29991.0,NORDESTE
2018-01-01,AM,49003.414,34733.0,NORTE
2018-01-01,AP,10400.534,11449.0,NORTE
2018-01-01,BA,280354.88,268336.0,NORDESTE
2018-01-01,CE,131498.0,160261.0,NORDESTE
2018-01-01,DF,54331.08,47195.0,CENTRO OESTE
2018-01-01,ES,73289.305,96706.0,SUDESTE
2018-01-01,GO,204268.62,176275.0,CENTRO OESTE
2018-01-01,MA,90056.1,64818.0,NORDESTE
2018-01-01,MG,398321.06,431028.0,SUDESTE
2018-01-01,MS,73153.04,63194.0,CENTRO OESTE
2018-01-01,MT,123005.38,96360.0,CENTRO OESTE
2018-01-01,PA,133738.5,111175.0,NORTE
2018-01-01,PB,76190.17,62639.0,NORDESTE
2018-01-01,PE,171717.84,144855.0,NORDESTE
2018-01-01,PI,52788.85,59688.0,NORDESTE
2018-01-01,PR,349341.47,274431.0,SUL
2018-01-01,RJ,249410.88,185078.0,SUDESTE
2018-01-01,RN,62801.812,42721.0,NORDESTE
2018-01-01,RO,41256.72,25221.0,NORTE
2018-01-01,RR,8091.7437,7115.0,NORTE
2018-01-01,RS,232889.22,221534.0,SUL
2018-01-01,SC,229345.72,219002.0,SUL
2018-01-01,SE,36377.402,41652.0,NORDESTE
2018-01-01,SP,872849.6,763665.0,SUDESTE
2018-01-01,TO,27838.947,34018.0,NORTE
2018-02-01,AC,9895.818,8920.0,NORTE
2018-02-01,AL,46921.36,26820.0,NORDESTE
2018-02-01,AM,54425.84,15022.0,NORTE
2018-02-01,AP,18684.883,7805.0,NORTE
2018-02-01,BA,244223.22,223453.0,NORDESTE
2018-02-01,CE,124801.766,113987.0,NORDESTE
2018-02-01,DF,48236.07,43527.0,CENTRO OESTE
2018-02-01,ES,73057.49,74086.0,SUDESTE
2018-02-01,GO,163156.19,152632.0,CENTRO OESTE
2018-02-01,MA,69805.44,44254.0,NORDESTE
2018-02-01,MG,356979.6,305105.0,SUDESTE
2018-02-01,MS,63222.96,60580.0,CENTRO OESTE
2018-02-01,MT,83849.01,86444.0,CENTRO OESTE
2018-02-01,PA,115377.48,80970.0,NORTE
2018-02-01,PB,73209.22,53839.0,NORDESTE
2018-02-01,PE,161803.48,126352.0,NORDESTE
2018-02-01,PI,46429.79,40259.0,NORDESTE
2018-02-01,PR,304692.4,298219.0,SUL
2018-02-01,RJ,185705.08,146761.0,SUDESTE
2018-02-01,RN,54749.145,32801.0,NORDESTE
2018-02-01,RO,35634.324,23321.0,NORTE
2018-02-01,RR,7964.7,2781.0,NORTE
2018-02-01,RS,204868.42,212139.0,SUL
2018-02-01,SC,196386.6,234275.0,SUL
2018-02-01,SE,37026.39,33904.0,NORDESTE
2018-02-01,SP,799614.3,727397.0,SUDESTE
2018-02-01,TO,37783.34,22422.0,NORTE
2018-03-01,AC,11023.846,9724.0,NORTE
2018-03-01,AL,48549.742,29446.0,NORDESTE
2018-03-01,AM,52609.71,20879.0,NORTE
2018-03-01,AP,17719.424,7726.0,NORTE
2018-03-01,BA,243291.81,241464.0,NORDESTE
2018-03-01,CE,124545.62,114289.0,NORDESTE
2018-03-01,DF,46246.19,45488.0,CENTRO OESTE
2018-03-01,ES,74273.15,92676.0,SUDESTE
2018-03-01,GO,163724.16,177876.0,CENTRO OESTE
2018-03-01,MA,67518.016,52169.0,NORDESTE
2018-03-01,MG,355733.06,402406.0,SUDESTE
2018-03-01,MS,63451.39,69448.0,CENTRO OESTE
2018-03-01,MT,79973.54,94285.0,CENTRO OESTE
2018-03-01,PA,120951.625,92173.0,NORTE
2018-03-01,PB,70037.38,56652.0,NORDESTE
2018-03-01,PE,156122.97,138148.0,NORDESTE
2018-03-01,PI,46521.938,41239.0,NORDESTE
2018-03-01,PR,306861.8,328955.0,SUL
2018-03-01,RJ,186102.12,173121.0,SUDESTE
2018-03-01,RN,53177.746,37638.0,NORDESTE
2018-03-01,RO,34488.684,23927.0,NORTE
2018-03-01,RR,7445.674,7490.0,NORTE
2018-03-01,RS,204502.61,228994.0,SUL
2018-03-01,SC,198240.14,249920.0,SUL
2018-03-01,SE,36820.492,29447.0,NORDESTE
2018-03-01,SP,800533.06,855245.0,SUDESTE
2018-03-01,TO,32102.639,29555.0,NORTE
2018-04-01,AC,11767.897,9737.0,NORTE
2018-04-01,AL,48757.06,27666.0,NORDESTE
2018-04-01,AM,53373.14,36409.0,NORTE
2018-04-01,AP,15925.808,8516.0,NORTE
2018-04-01,BA,249060.89,238901.0,NORDESTE
2018-04-01,CE,120882.79,117313.0,NORDESTE
2018-04-01,DF,48098.836,44960.0,CENTRO OESTE
2018-04-01,ES,71327.36,82865.0,SUDESTE
2018-04-01,GO,182610.66,181384.0,CENTRO OESTE
2018-04-01,MA,70277.03,53399.0,NORDESTE
2018-04-01,MG,377999.9,419419.0,SUDESTE
2018-04-01,MS,65402.32,74472.0,CENTRO OESTE
2018-04-01,MT,91867.055,98986.0,CENTRO OESTE
2018-04-01,PA,120360.48,86782.0,NORTE
2018-04-01,PB,71360.86,53408.0,NORDESTE
2018-04-01,PE,160061.62,129978.0,NORDESTE
2018-04-01,PI,45628.613,45035.0,NORDESTE
2018-04-01,PR,318913.94,335039.0,SUL
2018-04-01,RJ,197213.64,169841.0,SUDESTE
2018-04-01,RN,53739.86,37358.0,NORDESTE
2018-04-01,RO,35306.438,24561.0,NORTE
2018-04-01,RR,7638.1733,7043.0,NORTE
2018-04-01,RS,209430.25,226827.0,SUL
2018-04-01,SC,198136.77,246326.0,SUL
2018-04-01,SE,36674.89,29197.0,NORDESTE
2018-04-01,SP,819095.94,855042.0,SUDESTE
2018-04-01,TO,29424.053,28919.0,NORTE
2018-05-01,AC,12869.528,10136.0,NORTE
2018-05-01,AL,50768.273,22013.0,NORDESTE
2018-05-01,AM,52486.984,22277.0,NORTE
2018-05-01,AP,14704.825,8503.0,NORTE
2018-05-01,BA,254868.0,191989.0,NORDESTE
2018-05-01,CE,118799.98,110502.0,NORDESTE
2018-05-01,DF,49234.64,36721.0,CENTRO OESTE
2018-05-01,ES,72122.445,71180.0,SUDESTE
2018-05-01,GO,172524.75,160120.0,CENTRO OESTE
2018-05-01,MA,70030.21,45364.0,NORDESTE
2018-05-01,MG,372490.62,336054.0,SUDESTE
2018-05-01,MS,65144.9,63776.0,CENTRO OESTE
2018-05-01,MT,85794.836,88072.0,CENTRO OESTE
2018-05-01,PA,119834.4,85150.0,NORTE
2018-05-01,PB,72352.836,50543.0,NORDESTE
2018-05-01,PE,164301.14,109083.0,NORDESTE
2018-05-01,PI,46336.61,42477.0,NORDESTE
2018-05-01,PR,320086.62,260723.0,SUL
2018-05-01,RJ,201042.36,142706.0,SUDESTE
2018-05-01,RN,55044.367,31339.0,NORDESTE
2018-05-01,RO,35761.613,20135.0,NORTE
2018-05-01,RR,7914.861,4877.0,NORTE
2018-05-01,RS,213639.4,186855.0,SUL
2018-05-01,SC,201865.69,198778.0,SUL
2018-05-01,SE,36082.945,26297.0,NORDESTE
2018-05-01,SP,819255.3,648867.0,SUDESTE
2018-05-01,TO,28226.889,25589.0,NORTE
2018-06-01,AC,12968.001,14403.0,NORTE
2018-06-01,AL,51149.04,28025.0,NORDESTE
2018-06-01,AM,52335.273,20529.0,NORTE
2018-06-01,AP,12044.344,10175.0,NORTE
2018-06-01,BA,255158.05,272452.0,NORDESTE
2018-06-01,CE,117659.87,147996.0,NORDESTE
2018-06-01,DF,48649.92,54463.0,CENTRO OESTE
2018-06-01,ES,72153.086,108826.0,SUDESTE
2018-06-01,GO,172676.56,236951.0,CENTRO OESTE
2018-06-01,MA,70863.05,67103.0,NORDESTE
2018-06-01,MG,375668.06,568395.0,SUDESTE
2018-06-01,MS,64710.156,81732.0,CENTRO OESTE
2018-06-01,MT,84771.15,141010.0,CENTRO OESTE
2018-06-01,PA,117370.24,135094.0,NORTE
2018-06-01,PB,75130.695,64699.0,NORDESTE
2018-06-01,PE,164506.62,147440.0,NORDESTE
2018-06-01,PI,45165.832,57619.0,NORDESTE
2018-06-01,PR,327471.44,366929.0,SUL
2018-06-01,RJ,213136.33,242422.0,SUDESTE
2018-06-01,RN,58438.043,45311.0,NORDESTE
2018-06-01,RO,37787.56,34837.0,NORTE
2018-06-01,RR,7789.636,7031.0,NORTE
2018-06-01,RS,223684.9,253021.0,SUL
2018-06-01,SC,211244.94,285970.0,SUL
2018-06-01,SE,36053.133,29209.0,NORDESTE
2018-06-01,SP,821642.3,1003807.0,SUDESTE
2018-06-01,TO,24569.133,40237.0,NORTE
2018-07-01,AC,11861.46,12871.0,NORTE
2018-07-01,AL,51732.797,25648.0,NORDESTE
2018-07-01,AM,54303.414,37061.0,NORTE
2018-07-01,AP,12353.174,11775.0,NORTE
2018-07-01,BA,260716.94,261009.0,NORDESTE
2018-07-01,CE,123446.195,152386.0,NORDESTE
2018-07-01,DF,55413.79,51462.0,CENTRO OESTE
2018-07-01,ES,70933.39,105694.0,SUDESTE
2018-07-01,GO,201782.16,206557.0,CENTRO OESTE
2018-07-01,MA,77436.56,61062.0,NORDESTE
2018-07-01,MG,417693.3,541488.0,SUDESTE
2018-07-01,MS,82504.305,83858.0,CENTRO OESTE
2018-07-01,MT,120344.44,122652.0,CENTRO OESTE
2018-07-01,PA,122974.4,132351.0,NORTE
2018-07-01,PB,71619.97,60219.0,NORDESTE
2018-07-01,PE,155751.7,132500.0,NORDESTE
2018-07-01,PI,53977.246,53109.0,NORDESTE
2018-07-01,PR,353011.16,353426.0,SUL
2018-07-01,RJ,235902.97,226205.0,SUDESTE
2018-07-01,RN,59581.36,42085.0,NORDESTE
2018-07-01,RO,40188.977,34338.0,NORTE
2018-07-01,RR,8504.419,5988.0,NORTE
2018-07-01,RS,229523.58,194988.0,SUL
2018-07-01,SC,208196.08,262597.0,SUL
2018-07-01,SE,36657.39,28158.0,NORDESTE
2018-07-01,SP,864919.1,855104.0,SUDESTE
2018-07-01,TO,29103.893,37012.0,NORTE
2018-08-01,AC,13416.287,15749.0,NORTE
2018-08-01,AL,43899.47,31782.0,NORDESTE
2018-08-01,AM,46337.133,23387.0,NORTE
2018-08-01,AP,9836.747,9724.0,NORTE
2018-08-01,BA,274946.28,292688.0,NORDESTE
2018-08-01,CE,131452.89,177259.0,NORDESTE
2018-08-01,DF,55414.47,58854.0,CENTRO OESTE
2018-08-01,ES,72525.375,107106.0,SUDESTE
2018-08-01,GO,200031.38,224270.0,CENTRO OESTE
2018-08-01,MA,74276.31,73445.0,NORDESTE
2018-08-01,MG,404306.56,537851.0,SUDESTE
2018-08-01,MS,62801.61,87863.0,CENTRO OESTE
2018-08-01,MT,106227.59,142145.0,CENTRO OESTE
2018-08-01,PA,118549.805,133744.0,NORTE
2018-08-01,PB,67389.77,64217.0,NORDESTE
2018-08-01,PE,156359.12,158533.0,NORDESTE
2018-08-01,PI,49572.465,63141.0,NORDESTE
2018-08-01,PR,333038.88,344937.0,SUL
2018-08-01,RJ,238290.55,229696.0,SUDESTE
2018-08-01,RN,62445.863,48520.0,NORDESTE
2018-08-01,RO,39009.312,39293.0,NORTE
2018-08-01,RR,8407.083,7275.0,NORTE
2018-08-01,RS,224772.52,244406.0,SUL
2018-08-01,SC,219634.16,277811.0,SUL
2018-08-01,SE,32566.826,31132.0,NORDESTE
2018-08-01,SP,862905.5,913329.0,SUDESTE
2018-08-01,TO,32643.162,38793.0,NORTE
2018-09-01,AC,10546.179,14269.0,NORTE
2018-09-01,AL,39547.6,27768.0,NORDESTE
2018-09-01,AM,46159.426,38399.0,NORTE
2018-09-01,AP,9972.439,10069.0,NORTE
2018-09-01,BA,268434.47,258881.0,NORDESTE
2018-09-01,CE,133460.77,155913.0,NORDESTE
2018-09-01,DF,46022.89,53940.0,CENTRO OESTE
2018-09-01,ES,74344.586,101893.0,SUDESTE
2018-09-01,GO,192833.47,213871.0,CENTRO OESTE
2018-09-01,MA,75630.54,69471.0,NORDESTE
2018-09-01,MG,399491.94,526265.0,SUDESTE
2018-09-01,MS,63806.332,69723.0,CENTRO OESTE
2018-09-01,MT,93304.66,121124.0,CENTRO OESTE
2018-09-01,PA,123068.805,128527.0,NORTE
2018-09-01,PB,71502.02,57591.0,NORDESTE
2018-09-01,PE,158437.31,133813.0,NORDESTE
2018-09-01,PI,53822.48,55580.0,NORDESTE
2018-09-01,PR,334543.2,302082.0,SUL
2018-09-01,RJ,231911.36,232624.0,SUDESTE
2018-09-01,RN,60944.96,41365.0,NORDESTE
2018-09-01,RO,36899.695,41610.0,NORTE
2018-09-01,RR,8168.7534,9468.0,NORTE
2018-09-01,RS,223305.78,201372.0,SUL
2018-09-01,SC,218500.73,235885.0,SUL
2018-09-01,SE,34216.047,30195.0,NORDESTE
2018-09-01,SP,848871.7,849262.0,SUDESTE
2018-09-01,TO,28004.303,38281.0,NORTE
2018-10-01,AC,10244.153,15367.0,NORTE
2018-10-01,AL,40914.996,33073.0,NORDESTE
2018-10-01,AM,51400.03,39652.0,NORTE
2018-10-01,AP,12725.025,13930.0,NORTE
2018-10-01,BA,270665.7,276879.0,NORDESTE
2018-10-01,CE,130506.2,172410.0,NORDESTE
2018-10-01,DF,50848.957,51514.0,CENTRO OESTE
2018-10-01,ES,73298.37,110551.0,SUDESTE
2018-10-01,GO,205226.03,211066.0,CENTRO OESTE
2018-10-01,MA,85288.4,83004.0,NORDESTE
2018-10-01,MG,405309.66,559293.0,SUDESTE
2018-10-01,MS,73657.74,72765.0,CENTRO OESTE
2018-10-01,MT,100568.305,130503.0,CENTRO OESTE
2018-10-01,PA,131707.4,147510.0,NORTE
2018-10-01,PB,78079.04,64307.0,NORDESTE
2018-10-01,PE,165089.78,155827.0,NORDESTE
2018-10-01,PI,53082.914,60001.0,NORDESTE
2018-10-01,PR,337063.2,294467.0,SUL
2018-10-01,RJ,240408.78,234262.0,SUDESTE
2018-10-01,RN,64035.156,43813.0,NORDESTE
2018-10-01,RO,41606.46,43544.0,NORTE
2018-10-01,RR,8159.711,7970.0,NORTE
2018-10-01,RS,225628.78,251369.0,SUL
2018-10-01,SC,216240.14,272671.0,SUL
2018-10-01,SE,34545.844,31537.0,NORDESTE
2018-10-01,SP,861448.56,897883.0,SUDESTE
2018-10-01,TO,28333.832,39711.0,NORTE
2018-11-01,AC,10832.704,14595.0,NORTE
2018-11-01,AL,39469.04,30389.0,NORDESTE
2018-11-01,AM,47709.12,40204.0,NORTE
2018-11-01,AP,12513.584,11918.0,NORTE
2018-11-01,BA,269068.25,255774.0,NORDESTE
2018-11-01,CE,137925.9,179419.0,NORDESTE
2018-11-01,DF,50371.45,42635.0,CENTRO OESTE
2018-11-01,ES,72898.49,100587.0,SUDESTE
2018-11-01,GO,209897.9,182899.0,CENTRO OESTE
2018-11-01,MA,84126.875,77332.0,NORDESTE
2018-11-01,MG,415271.6,466646.0,SUDESTE
2018-11-01,MS,64435.98,77937.0,CENTRO OESTE
2018-11-01,MT,99355.02,104115.0,CENTRO OESTE
2018-11-01,PA,137302.28,138511.0,NORTE
2018-11-01,PB,73150.71,61971.0,NORDESTE
2018-11-01,PE,161494.78,146197.0,NORDESTE
2018-11-01,PI,58516.25,62767.0,NORDESTE
2018-11-01,PR,333482.25,336029.0,SUL
2018-11-01,RJ,234752.08,217727.0,SUDESTE
2018-11-01,RN,61970.58,43816.0,NORDESTE
2018-11-01,RO,41426.297,35658.0,NORTE
2018-11-01,RR,8561.108,7866.0,NORTE
2018-11-01,RS,224308.47,242782.0,SUL
2018-11-01,SC,221241.86,278592.0,SUL
2018-11-01,SE,31951.736,30748.0,NORDESTE
2018-11-01,SP,863698.7,860059.0,SUDESTE
2018-11-01,TO,33560.11,33695.0,NORTE
2018-12-01,AC,9406.834,9811.0,NORTE
2018-12-01,AL,29636.447,27657.0,NORDESTE
2018-12-01,AM,39649.145,21625.0,NORTE
2018-12-01,AP,9158.29,11757.0,NORTE
2018-12-01,BA,264853.38,208326.0,NORDESTE
2018-12-01,CE,152875.47,157165.0,NORDESTE
