camadas,epochs,neuronios,ativacao,normalizacao,mae,rmse,mape
1,150,256,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,81629.03760769348,102904.34047701738,1.8054390636996862
1,150,256,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,72592.5604428357,93665.30334277725,0.8416157776956728
1,150,128,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,68838.63873977616,103820.42416897704,0.6929836753262693
1,150,128,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,114700.44541641475,147467.75517482348,2.678095868003924
1,150,128,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,92815.08995737447,122079.43713039541,0.9819709955803902
1,150,128,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,61827.67246568304,88369.40470591075,0.76153972463919
1,150,128,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,100015.3250642382,137013.87409493863,2.297788028773332
1,150,128,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,82805.15044130928,107062.93185423389,0.9513625837277663
1,150,64,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,51364.18273379408,74729.6821012136,0.6809018580971343
1,150,64,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,101834.4548632104,156281.4369118916,1.9905989805480437
1,150,64,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,83975.61578663891,110305.72662145352,0.9449556983314965
1,150,64,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,56271.18210061199,90356.2453748717,0.5965448836937226
1,150,64,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,96312.95133010883,158257.6857237608,1.7135817816825236
1,150,64,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,58482.073603324476,105858.30320498557,0.634616758133625
1,150,32,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,68621.8434781417,116760.06994494423,0.6025555733640233
1,150,32,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,101614.6338988815,186864.85117582724,0.9353455499070843
1,150,32,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,59804.130717523156,118237.48561798496,0.5819418294460413
1,150,32,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,96699.85908099616,158188.96402412193,0.7182823190555129
1,150,32,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,105600.3530787107,194249.45224701872,0.8039576222806808
1,150,32,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,86936.89859717299,158593.31072828543,0.6389567914636123
