,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Estado,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
199308,19640,211398,45448,233863,1146302,505631,628165,496520,853397,182502,357174,367381,2816772,417155,346847,1706491,735840,145286,2457268,182511,1469877,92065,16631,993834,7054936,190071,117200
199309,19985,212873,43567,235537,1142108,497220,627966,502084,872479,183904,372491,371064,2823076,426501,350366,1671438,723222,146624,2481741,186008,1505619,92307,15329,995293,7095317,189236,120474
199310,20057,210635,41101,232898,1164432,509723,635793,514587,904337,178076,393162,376480,2913333,439068,350540,1712174,719923,146025,2555396,190052,1548210,91724,15201,1016247,7233424,189877,123849
199311,20016,212171,40068,232670,1186396,505520,625537,519421,915196,176854,403343,377833,2981386,451502,349229,1728097,707186,146488,2569659,194563,1578158,91050,14407,1015172,7271911,189683,127031
199312,21289,214923,40376,231423,1192525,505996,621169,524460,919420,188193,411019,380421,3032391,461357,355150,1732481,707086,147331,2597949,203490,1606088,89490,15569,1010635,7323039,189923,131105
199401,21904,219855,40626,222012,1192609,530472,617690,523634,930521,192910,417301,381994,3087429,462947,359459,1749633,718785,147562,2622113,213676,1612618,87560,15686,1012277,7338870,193758,132474
199402,22435,221345,39497,217316,1208315,564878,626559,522743,945898,202172,426943,385556,3151019,465214,333078,1734702,740069,146523,2647520,219004,1614057,86039,15686,1019512,7377701,195531,133341
199403,22539,229570,40056,212684,1214771,591324,614636,519415,953679,205229,430924,386212,3171538,464858,320497,1741498,751802,144328,2645224,226028,1634729,85384,18086,1015869,7355740,200287,134812
199404,23236,235992,39758,213617,1216503,611299,616857,526151,974680,210164,447148,394539,3226952,475975,309157,1753670,771163,147868,2683751,232595,1658739,87729,18841,1017712,7486613,205179,137302
199405,22910,237517,39576,215117,1237797,615118,606713,524350,978434,208585,451455,396748,3248874,484758,313168,1804675,782292,148129,2708467,234820,1674987,88490,18396,1010015,7605821,210093,137474
199406,23351,237945,40007,215017,1247773,612369,601293,529834,984060,207743,454841,398789,3276199,489978,315827,1865209,789173,148470,2727906,234677,1704131,89042,19690,1012208,7798375,211457,135470
199407,24901,237507,41921,211089,1240641,620092,590294,539267,978585,207179,445970,397775,3332586,483860,318384,1945082,788667,146597,2788049,238930,1716810,88669,20335,1009704,7998238,208336,135224
199408,25470,237500,44668,210215,1255213,624649,590387,552885,993565,208709,443595,404723,3407494,481813,319933,2010167,802264,144752,2845301,241720,1727852,89184,23341,1016558,8233498,209798,136699
199409,26266,235732,46647,203925,1262613,616825,573882,556566,989525,207030,426898,407932,3439559,477571,317905,2096823,821451,142588,2869211,245228,1712916,88173,27512,1015375,8383145,208864,136954
199410,26345,233015,46805,196221,1240895,596396,550809,560446,962524,210281,398107,404277,3425294,465905,312944,2133136,814128,142639,2847091,246151,1686543,88875,28591,992086,8442756,203373,136261
199411,26981,230776,48430,182808,1225060,587097,547225,574337,958533,207892,380639,404943,3440833,465805,312015,2198133,811275,142075,2884114,244616,1681950,89498,29450,997875,8620909,205701,136159
199412,26473,226450,48246,175863,1200448,576620,544619,583574,961499,193705,372160,412900,3463833,465584,310895,2268484,816664,142082,2909907,234843,1679170,91777,29277,996783,8800371,204702,135107
199501,25904,225268,47829,176230,1180406,552202,543470,602345,954770,183804,370869,412206,3469864,472829,306247,2331309,802517,140028,2945347,226278,1679753,93589,32618,979286,8968638,201312,137675
199502,26129,226869,48527,176348,1161271,545881,542817,622609,958834,179319,362874,407409,3506590,481216,306994,2422641,799383,142545,3005545,230577,1678059,98059,34299,975402,9161854,198388,139691
199503,27080,226918,47725,178058,1171194,541787,553050,637592,970413,176972,363577,407611,3581998,485482,307100,2491553,806700,147811,3069787,228941,1669010,100019,32909,992493,9426033,195559,140169
199504,26640,225703,48228,175258,1162493,535782,556919,651851,970657,174004,359851,401794,3642124,477945,301070,2538560,797205,148396,3121366,223376,1662711,99192,32349,1003245,9565528,193199,141763
199505,27960,228477,48652,177631,1169320,540746,575412,677922,989915,175765,367287,403105,3745726,474729,308221,2579263,805393,153429,3219166,222400,1672584,101767,33069,1048240,9851406,191054,145062
199506,28757,233221,50341,181651,1178688,545771,589754,699161,1016767,176862,369403,398193,3851867,472962,314405,2587353,806618,156112,3321408,224662,1677187,104968,33579,1104251,10054852,189191,151024
199507,28760,235390,50089,180341,1181798,549865,600837,716735,1037315,181246,377636,394703,3916178,476636,315849,2549419,806488,159565,3370337,225605,1662748,107594,34386,1128405,10243196,192163,153492
199508,30207,238811,51987,182462,1194051,546123,619248,738284,1069828,181156,390608,397490,4028085,482389,319395,2554636,801546,160715,3481357,227493,1694596,112613,34290,1173031,10571224,195395,161520
199509,31485,241382,51735,183639,1202850,552911,641656,763488,1095880,184639,406693,398527,4145921,496399,323627,2542566,783908,167949,3586349,223886,1710482,116770,33875,1214076,10889050,191766,166825
199510,32639,246863,50927,184877,1206072,564157,661647,775527,1126297,193443,423932,397779,4243340,501256,331352,2521108,784023,171499,3666009,224042,1718710,120288,35062,1248680,11114597,189994,168400
199511,34913,251854,50337,191034,1218313,580475,675925,803903,1150772,203784,437051,401800,4372276,504766,336566,2484532,787127,180345,3751955,231097,1728689,123541,38881,1285751,11385268,189435,172610
199512,36724,254082,52174,197253,1232052,593221,685334,830427,1170366,216141,439789,400415,4448045,506221,335316,2445710,778529,184999,3833465,241058,1753696,125218,39685,1337441,11583845,189906,175078
199601,38512,256823,54846,202553,1253467,614144,688342,849714,1187552,234864,440263,399961,4546329,497633,338353,2393306,798980,188833,3883806,260530,1766664,128529,38963,1372092,11704110,190197,175368
199602,39417,256009,58513,208580,1263561,618473,686916,868935,1198470,245677,445463,406099,4574137,494230,339318,2354965,809978,188989,3904603,271753,1796854,126254,40614,1404099,11772364,195021,173358
199603,39148,257124,58654,211601,1274516,625418,686714,890893,1208007,258722,446130,407891,4624963,487411,343135,2332501,817784,191849,3946044,278180,1814126,126082,42414,1429280,11889881,199184,172470
199604,39076,256351,59431,212179,1280520,637987,678418,903013,1206698,269173,440143,410853,4653700,484782,348614,2324671,832118,194865,3963786,286023,1826261,124864,44776,1456461,11994758,200747,169485
199605,39924,259744,60108,212364,1312634,659428,678833,920024,1219844,284585,443405,415091,4715407,484312,351780,2332851,848345,198279,3983306,296933,1854298,122141,45415,1480008,12069103,208595,168582
199606,41372,260898,61217,212024,1331584,680758,677371,926723,1219049,300045,442669,418494,4736488,481899,354649,2327755,867377,203863,3953440,306119,1855855,123984,46688,1476888,12031682,215029,165228
199607,42887,266514,64558,219830,1372028,702183,681186,939028,1230943,314158,447410,416390,4800005,483115,361007,2337025,898279,208000,3943072,318408,1884909,125910,48174,1506003,11994409,219454,164283
199608,43730,271327,65097,227986,1415106,739237,685645,953137,1240779,338090,455995,420112,4851039,483931,371660,2356854,926601,219478,3901780,336793,1907504,125079,49287,1524367,11993593,230421,157361
