y_test;y_pred
142145.0;129744
133744.0;159827
64217.0;68935
158533.0;162866
63141.0;55841
344937.0;298613
229696.0;210870
48520.0;61205
39293.0;45524
7275.0;7956
244406.0;210216
277811.0;223421
31132.0;21273
913329.0;905919
38793.0;55518
14269.0;1767
27768.0;50324
38399.0;45987
10069.0;7006
258881.0;245635
155913.0;137932
53940.0;47760
101893.0;44629
213871.0;209027
69471.0;92707
526265.0;454047
69723.0;95273
121124.0;126465
128527.0;155278
57591.0;64688
133813.0;158216
55580.0;51487
302082.0;294946
232624.0;209474
41365.0;60150
41610.0;43637
9468.0;7243
201372.0;209164
235885.0;221764
30195.0;19491
849262.0;904131
38281.0;54155
15367.0;3163
33073.0;50739
39652.0;46688
13930.0;9418
276879.0;247999
172410.0;142348
51514.0;51913
110551.0;49031
211066.0;212999
83004.0;96942
559293.0;457585
72765.0;98883
130503.0;126786
147510.0;154721
64307.0;64428
155827.0;158587
60001.0;51865
294467.0;295689
234262.0;210214
43813.0;61380
43544.0;44830
7970.0;8553
251369.0;211184
272671.0;222933
31537.0;21310
897883.0;906029
39711.0;56144
14595.0;1234
30389.0;49154
40204.0;44865
11918.0;7323
255774.0;246930
179419.0;138475
42635.0;48498
100587.0;45904
182899.0;209773
77332.0;91247
466646.0;452812
77937.0;93916
104115.0;125136
138511.0;153582
61971.0;63272
146197.0;157287
62767.0;50926
336029.0;293839
217727.0;208468
43816.0;59350
35658.0;41694
7866.0;6078
242782.0;208284
278592.0;220668
30748.0;18611
860059.0;903058
33695.0;52990
9811.0;-372
27657.0;47744
21625.0;42325
11757.0;6106
208326.0;244825
157165.0;137307
40371.0;48844
94220.0;45852
159002.0;210684
58591.0;94114
416049.0;455145
64332.0;97302
90690.0;127795
103294.0;156682
57480.0;66161
122278.0;159824
45308.0;53604
278117.0;296184
190769.0;212553
38245.0;63022
29693.0;45740
8108.0;10154
201288.0;211749
214658.0;224616
30734.0;22733
771417.0;907512
28206.0;56977
11188.0;2044
32388.0;46216
42731.0;47595
9691.0;15309
291428.0;219931
151601.0;153259
48990.0;69889
111377.0;73820
178918.0;212532
70660.0;100244
501489.0;458473
77048.0;117272
102685.0;140224
110704.0;170446
68053.0;68831
149983.0;151051
57142.0;55990
323005.0;291083
232609.0;215773
46081.0;57261
32559.0;40478
9908.0;4244
226547.0;209193
252700.0;227687
36567.0;14646
860232.0;873822
31615.0;55144
10381.0;3966
30378.0;48568
36026.0;49062
7378.0;13082
249430.0;216659
129537.0;148170
44726.0;65618
98614.0;71683
161936.0;206267
50796.0;95562
460699.0;453856
65660.0;112312
96144.0;135992
91638.0;166483
55231.0;65818
123483.0;155406
46283.0;60999
291453.0;296528
195364.0;220536
38703.0;62229
24910.0;45805
10723.0;9012
228500.0;214206
246146.0;232344
30849.0;18439
773607.0;877732
30275.0;59389
8080.0;2618
30641.0;47220
34609.0;47884
6970.0;11734
241612.0;215311
105236.0;147249
44491.0;64213
94022.0;70335
173792.0;204919
47834.0;94780
445583.0;452971
65445.0;111497
102197.0;134741
90744.0;165409
53723.0;64520
125104.0;154247
43390.0;59928
300203.0;296392
205690.0;219448
36037.0;60985
28713.0;44161
10625.0;9174
223896.0;213993
255873.0;232449
31021.0;18969
790146.0;878487
29568.0;59798
11154.0;3663
32337.0;48422
40787.0;49984
7612.0;13348
252303.0;216509
110835.0;148672
43901.0;66621
91546.0;72653
176627.0;207180
45327.0;96011
509271.0;454937
78095.0;113749
106712.0;137717
82108.0;168790
57457.0;67493
129633.0;157709
40824.0;63225
317058.0;299115
231354.0;221574
38430.0;62975
32660.0;46827
10593.0;9934
234132.0;215969
273299.0;234192
31437.0;21736
886929.0;880748
26940.0;61373
12508.0;5606
36405.0;49944
39823.0;52301
8442.0;11296
281912.0;214170
127925.0;146681
55019.0;63426
95674.0;69852
207991.0;204667
54032.0;93768
532602.0;452082
80998.0;110443
124057.0;133640
97490.0;163863
62755.0;63131
138233.0;154892
55063.0;60169
314142.0;296857
236711.0;220186
44471.0;62257
31635.0;46211
10681.0;9122
207586.0;214563
270918.0;232234
31533.0;19127
941600.0;878269
35910.0;59323
12126.0;1458
22499.0;45821
39957.0;48050
8835.0;10298
200213.0;213396
127138.0;146670
50942.0;62821
88927.0;69176
185784.0;203867
60657.0;93036
500905.0;451524
69415.0;109860
124625.0;134058
96803.0;164411
48148.0;63886
109657.0;153759
56474.0;59413
301878.0;295522
215360.0;219216
37884.0;60993
35142.0;45182
7887.0;7491
228583.0;212670
256605.0;230322
26431.0;16416
817301.0;875781
33954.0;57320
14496.0;2210
27961.0;46979
52048.0;49034
11251.0;11585
270511.0;215096
157128.0;147622
63992.0;64328
105688.0;70274
234176.0;204892
67250.0;116932
588495.0;474964
87346.0;134190
133116.0;158421
118687.0;196484
62190.0;91020
128809.0;187074
68133.0;92253
358797.0;320816
258015.0;245259
51585.0;85066
36419.0;64389
9751.0;14960
234565.0;221714
303526.0;239944
25978.0;26231
957289.0;885690
37983.0;67597
16723.0;12869
32378.0;58434
53567.0;59618
11342.0;22769
281466.0;225063
164440.0;155972
64127.0;66826
104711.0;72529
226996.0;207381
70773.0;96434
589349.0;456248
82888.0;114404
144310.0;138432
109761.0;168977
62219.0;66124
140408.0;159198
68642.0;63504
356169.0;298909
244870.0;218267
54306.0;59619
40300.0;44349
9654.0;6238
249519.0;211723
299284.0;230007
29860.0;16868
978990.0;875942
40046.0;58014
15253.0;2745
32582.0;47189
46239.0;49390
13110.0;10724
285535.0;213625
140298.0;146511
60822.0;62379
97530.0;69530
218141.0;204150
67010.0;93099
543982.0;451645
79287.0;109991
140357.0;133051
120188.0;163367
61329.0;63955
134634.0;153211
64741.0;57571
316188.0;292393
225410.0;217043
52511.0;58624
35493.0;42996
9422.0;5213
230086.0;210846
284550.0;228582
39045.0;15472
906956.0;874508
32647.0;56422
16531.0;6077
42703.0;50409
51066.0;52923
13195.0;15241
328259.0;219728
168407.0;152710
65182.0;68987
99651.0;75699
234939.0;209067
81128.0;98364
614074.0;456607
81855.0;114148
152769.0;134316
131620.0;164285
81988.0;64883
189040.0;154925
71269.0;59178
346214.0;293660
252849.0;218798
59472.0;60421
38489.0;44515
11160.0;7006
233136.0;212334
307576.0;230378
45213.0;18300
980948.0;877198
39065.0;59191
15206.0;3867
38584.0;48256
51684.0;50514
10053.0;13007
298078.0;216155
163615.0;148308
51282.0;65067
76710.0;71567
199619.0;206255
81737.0;93182
557419.0;451618
77495.0;110005
124038.0;133011
125374.0;163060
79341.0;64030
166406.0;154097
67631.0;58229
323401.0;292705
226618.0;217690
54022.0;59210
35591.0;42979
10491.0;5474
233800.0;210822
281317.0;228952
42237.0;16018
872046.0;874725
36180.0;56684
10160.0;366
36503.0;44968
44907.0;47057
12274.0;9482
264838.0;214022
155070.0;144712
43554.0;63457
75456.0;70832
168797.0;205564
76841.0;94949
412582.0;453031
56612.0;111574
95054.0;134986
115811.0;164899
76646.0;65221
155456.0;155623
62845.0;59617
238466.0;294143
190993.0;220030
49791.0;61487
27530.0;45772
10225.0;7699
223214.0;213744
226233.0;230881
39732.0;17939
692232.0;876988
28749.0;59503
