Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
MG,31,Minas Gerais,0.045717811,0.120614923,0.397499195,2.838871802,40.74379624,1073.399121,5739.658633,61167.6043,1329216.374,34750782.04,60929910.78,74151755.85,82801477.67,83924488.19,89789781.72,100612292.9,111315303.9,106176174.315132,123788875.492096,149133418.004905,161504419.693306,183905297.820953,207538729.078333,239368507.363014,250347465.50927,305173970.112006,349632081.956446,387095922.954513,428810427.766084,454153432.497187,457443013.233034,478472742.138858,505075611.862998,538784653.282473,571464979.434878,
MS,50,Mato Grosso do Sul,0.004511548,0.013793448,0.040304152,0.283873274,3.979650229,110.8383314,596.0696087,6042.367324,136570.9227,3847512.684,6427630.907,7721995.845,8711204.989,9272270.475,10172207.95,11320383.16,13151446.2,14614659.9315592,19358857.1612912,20376784.7874553,20393418.6532211,22885651.8330868,25725815.1796173,30767999.703463,34151216.6898003,41496012.547582,48345892.2620903,54640580.9409942,61246741.8267048,70372618.058682,74316577.0318148,82667189.1354283,86440974.4682868,96183593.5360468,95140961.9468617,
MT,51,Mato Grosso,0.003266941,0.010370851,0.031630372,0.252934576,3.579948446,96.41123377,550.6545555,6108.859026,149987.3114,3860943.495,7319242.991,8647560.732,10068521.72,10566971.1,12364904.96,14870532.68,16309976.23,16714547.7969045,23434987.9157461,29281726.4072214,30033920.2560974,26233154.5877043,33058195.5627382,43177161.9840756,46360998.140102,49774547.6189157,61600432.7277147,70450157.4176638,78479785.3113834,90811401.9159096,97597774.4833333,111915059.812982,112317863.736877,122694151.417993,126618405.031412,
PA,15,Pará,0.007240986,0.022127864,0.071159357,0.494816773,8.796031579,237.6548727,1227.826487,11326.31156,332685.0818,8285513.324,10998290.68,13355231.68,14311879.81,15091455.23,16503978.55,19050189.09,22321475.27,23913864.0760586,27190608.6559544,33924434.2643777,36531095.1413836,41277749.5963883,46610741.3105366,54997529.3543106,55431794.7962662,75521362.1297568,90541303.8650965,97352055.4512438,110396668.927083,113001639.13269,118312498.868673,124828329.288842,141649038.087486,146889115.113317,161909193.805619,
PB,25,Paraíba,0.003413761,0.009733083,0.029438225,0.201774503,2.963916327,97.62114576,509.8428547,4754.62722,106898.9397,2835824.428,5182868.081,6434187.13,7205361.826,7646868.386,8397432.445,9337554.266,10848553.1,11388219.885691,13220216.3007841,14131289.4014654,15667481.3494471,18677593.3303478,20570984.5081663,24144971.8079393,27230573.2187781,29853238.6735232,32985146.4538882,37671983.4115131,40987580.0910436,46997294.7253033,50105439.8003075,52838190.1429112,55675475.65268,57209309.4907298,60277218.8476881,
PE,26,Pernambuco,0.012459969,0.035999888,0.111684991,0.767055875,10.75133568,307.093528,1742.172821,17090.33945,363539.7189,9038806.661,16211814.71,19997450.7,21989185.26,23270814.37,24878853.99,26959112.38,30245003.46,31157933.7170278,33486329.6294046,38820264.1101186,42867615.873177,47226029.8242262,53038078.4565618,59524391.06981,67890075.1913686,82952491.61382,93644413.1639467,108607671.72406,120895706.834561,133320671.024656,134499615.190496,144025380.49972,156332011.085802,159521602.590386,168953198.279145,
PI,22,Piauí,0.00187371,0.005435315,0.016071616,0.109400059,1.59104821,51.7282078,274.7138444,2644.460326,63230.96908,1614582.586,3584474.723,4359145.971,4732517.482,4950422.223,5381138.667,6062725.667,6472664.103,6306953.01404831,7501068.64550391,8379223.72654068,9501075.79239178,11896836.9348216,12140566.9772535,14320357.6816456,16799232.4647057,19670255.4655047,23151793.0225824,25418402.1064885,27848172.4205637,33983743.9736883,35068891.1007024,36989069.1388902,40512961.9920786,44692754.196398,47132529.2264523,
PR,41,Paraná,0.028145873,0.075873944,0.240970837,1.733755065,26.68072567,732.789965,3541.521187,37570.8332,834458.8691,21303823.91,40193724.65,48199433.68,53014378.37,57100728,63389042.27,69130749.09,76413389.96,76353218.0387743,96482402.5100522,107706240.774205,110617035.44075,119448899.08824,143964629.399484,159424943.473081,171043526.685969,192924561.102122,218851112.680656,242927257.794833,287678617.303816,301106704.229344,326630549.667907,351329556.662175,366028416.486897,382568112.668013,405628786.747913,
RJ,33,Rio de Janeiro,0.060376435,0.147673413,0.449748867,3.231270282,43.90352554,1253.944054,7401.138508,77384.96344,1659391.978,39611125.26,78944953.66,94684066.67,104424109,114177719.9,127218907.8,139754794.7,152099027.8,157947564.591282,175430466.375826,199826624.07779,227038904.140366,253626466.332053,272927457.63147,319780565.859844,333082303.074983,379412007.722099,436279839.384899,489621324.2856,534960445.849318,579338827.352661,556399222.561495,542132620.871708,563487481.488435,630432574.407067,661054234.646338,
RN,24,Rio Grande do Norte,0.003711496,0.009329405,0.029056743,0.200112699,3.208654314,82.94909177,473.2399021,4599.257024,109454.5822,2613305.378,4943648.552,6279544.042,7101548.363,7320394.214,8117166.748,9119808.497,10343403.58,12082743.8496226,13181222.2579723,15296138.2437334,17753703.2368037,20252165.0964155,23513864.134078,25678022.4840251,27525532.507572,32149190.4537919,36403024.2024745,41257031.1729936,45903800.4667358,48235008.6795408,51183888.0302208,53133028.0417386,57389774.2442836,59575710.7348179,63866962.1898245,
RO,11,Rondônia,0.002258789,0.006894281,0.020282726,0.139643727,2.266060783,56.56858923,254.0620181,2550.129812,62153.62827,1523778.863,3136548.484,3845128.157,4488220.008,4798717.019,5399619.044,5946137.705,6548811.407,6627898.69989361,8316575.54925447,9715834.78117979,11035676.9870493,11440903.3740363,12672017.658062,15234828.3764373,17435184.2648434,20956957.8454357,24191730.511017,26562867.6249694,27686665.4498885,30376184.4424322,32574075.514326,35384835.5196778,39281048.1061877,40259789.4729368,42037373.3923462,
RR,14,Roraima,0.000322511,0.001053997,0.003424649,0.025948098,0.447835142,12.95052766,56.54765116,545.7809317,9591.466569,238458.854,1004243.607,1187585.231,1284108.22,1347030.097,1569596.587,1776655.569,2033141.428,2217673.21113071,2406499.5756399,2617309.57163765,2949075.47697938,3511125.37201588,3848631.65683207,4434515.27401066,5203693.18155754,6067327.16761489,6722044.71243414,7065827.10233616,8339327.91126934,8993027.30912148,9441338.59137065,10177503.6041123,11182830.9069313,12267089.2085581,12996568.708831,
RS,43,Rio Grande do Sul,0.037454841,0.103710718,0.321088658,2.376082544,34.82903391,939.3634047,4666.959019,54964.96058,1260808.219,31129217.22,49879354.7,58807374.76,64991308.69,67673124.64,74015781.63,81814713.67,92310147.15,84497627.812337,102454116.161545,111661674.35109,114409880.650858,124766965.482911,143489534.248442,161120475.595122,175141577.156876,205802706.809358,226373415.444985,245487113.215189,286665159.987001,309927137.600299,333417695.320207,356024947.829225,367103067.67015,396533913.543719,420148101.312252,
SC,42,Santa Catarina,0.01571585,0.044793972,0.138242522,1.03243392,17.83700257,431.2081162,2105.983555,24784.5575,501168.5879,12780147.26,24231134.85,29891812.92,33194430.11,33818977.84,37151230.05,43311914.37,48748284.57,47349188.4485228,55507853.168853,64196446.3526002,70123647.2915008,78646522.3923019,89500311.540418,104054181.57759,111282602.356321,130469640.606946,146944765.732851,162052287.2483,180971624.080571,204832301.343842,209670421.406081,217913094.017315,233947785.492118,247908034.239271,267891286.89363,
SE,28,Sergipe,0.004371479,0.01081108,0.02696665,0.183640799,2.308751561,66.39839063,385.3315946,4056.692304,92531.71543,2042038.91,3833370.885,4720442.255,5422379.069,5597441.18,5942400.086,6539803.215,8018927.573,9270304.10152249,10557880.7518019,12077516.8165571,12939953.9335158,14722894.6819267,16417123.2944694,19347696.6458112,19589357.1668682,23686833.7950762,26037900.8879116,29358865.7248031,31608662.1186329,33664779.8037069,34508572.5490711,34751900.9618397,36412155.6822024,37281865.05838,39871265.1352845,
SP,35,São Paulo,0.171782902,0.455027841,1.523230927,11.20341559,160.7372301,4275.247452,21251.50101,227461.6773,4916925.143,119252732.5,263298461.8,307924113.2,344890877.3,353085089.7,383249570.9,424161313.5,463478076.1,430781193.231676,492825390.858384,539425320.935618,619285178.453431,686836869.876538,782245713.709839,854006280.549123,939371647.045898,1071840401.67993,1184832820.71611,1286699000.77295,1419426222.2842,1552872896.87085,1626004207.49886,1725307449.73241,1786741788.50464,1852796897.27141,1975310484.22948,
TO,17,Tocantins,,,,,0.622647505,18.26216825,109.515708,1069.520619,24925.04919,662907.3973,1840341.806,2165596.516,2467997.68,2786155.149,3015695.225,3671728.026,4843263.94,4774432.88617439,5906150.64151456,6505956.21820758,6828062.48301878,7696537.66459988,9144817.73254798,10867395.0399315,12414420.2992936,14809182.2574019,16557454.9811119,18716492.5195935,21641035.4606069,23748712.6640957,26295521.0054646,28531462.4820665,30851837.5822098,32111975.6981573,35538425.7601649,
