REGIÕES_E_ESTADOS,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
REGIÃO_NORTE,419454,369631,385252,433438,397871,450903,449819,486738,477607,515475,458656,421411,5266256
Rondônia,54117,59150,57345,56187,63403,73497,73696,72366,75142,73101,62809,51082,771895
Acre,14602,17681,6222,18829,16499,15178,22065,19242,23464,19835,21601,15832,211050
Amazonas,63088,80430,81788,72995,46056,96525,58639,96194,59788,94092,53720,57359,860674
Roraima,10334,9723,10850,11072,9501,11617,10944,11447,11006,13322,11245,8592,129653
Pará,173385,194793,178547,217998,191981,193204,212295,207853,222453,225625,228943,210489,2457566
Amapá,20083,18254,14837,18106,25047,15795,19112,28237,29245,27453,27780,30408,274357
Tocantins,34022,39423,35664,38250,45384,45087,53069,51399,56507,62047,52559,47649,561061
REGIÃO_NORDESTE,1440471,1316262,1298996,1286484,1365709,1208324,1447279,1438253,1509027,1562575,1426924,1386754,16687059
Maranhão,109760,131005,112690,126768,117345,125040,151260,168172,167879,164017,157151,148655,1679741
Piauí,60775,68954,67091,67586,78441,74829,87694,86327,89731,95134,86765,86494,949821
Ceará,157986,192846,177432,181792,218147,194505,245934,252316,259590,265342,242444,255148,2643483
Rio_Grande_do_Norte,77969,90176,84086,92183,93672,86553,95750,93185,100075,105152,96391,95672,1110864
Paraíba,105395,122635,109158,109628,114262,98235,120625,116514,117817,129304,114337,105985,1363894
Pernambuco,251834,280855,260913,255103,251169,209407,254967,236863,243733,258366,234085,226321,2963615
Alagoas,72995,78386,70339,68117,60946,55187,62205,58804,63077,68577,72559,62390,793584
Sergipe,53798,55907,54908,53475,53849,47496,52244,50540,55689,59853,53096,56542,647397
Bahia,343750,362707,348377,316831,360879,302072,362601,361533,396437,401830,356097,337548,4250660
Ajustes,82000,57000,14000,15000,17000,15000,14000,14000,15000,15000,14000,12000,284000
REGIÃO_CENTRO_OESTE,573635,540344,536341,551560,630345,565322,648679,643683,670823,684916,570426,440956,7057029
Mato_Grosso_do_Sul,84582,82582,80368,80047,89219,86202,89124,96403,97417,99202,80488,70777,1036411
Mato_Grosso,121666,134996,122594,126525,146984,130134,158799,159567,159547,163868,144145,92835,1661660
Goiás,245793,269698,253273,260760,303247,270923,305678,295812,313652,317006,259291,207747,3302879
Distrito_Federal,88303,86359,80107,84228,90895,78063,95077,91901,100207,104840,86502,69596,1056079
REGIÃO_SUDESTE,2622930,2544936,2599773,2645154,2779518,2452637,2773852,2833869,2892075,2919754,2519520,2211828,31795846
Minas_Gerais,576568,625432,649394,646918,721188,642243,708274,713702,733113,724279,613799,557007,7911915
Espírito_Santo,106856,112449,117042,121619,124068,107322,130760,128048,127463,126163,115475,107877,1425141
Rio_de_Janeiro,395560,391870,400356,394739,430492,353003,440878,454365,470872,465635,402700,355798,4956268
São_Paulo,1208952,1212179,1270981,1282878,1292771,1167070,1295940,1333754,1347628,1391677,1201546,1011146,15016522
Ajustes,257000,281000,162000,199000,211000,183000,198000,204000,213000,212000,186000,180000,2486000
REGIÃO_SUL,946811,943541,995136,946722,1051537,892941,1054189,1061864,1043721,1080443,1004052,862653,11883608
Paraná,369625,364690,385862,358289,407751,355172,422720,413943,386645,412891,383833,321913,4583335
Santa_Catarina,278834,269690,301859,287623,318335,272822,333911,330394,331265,347797,313927,264734,3651191
Rio_Grande_do_Sul,275082,290431,303414,296811,321450,260947,293558,313526,321810,314755,302292,272006,3566083
Ajustes,20000,22000,4000,4000,4000,4000,4000,4000,4000,5000,4000,4000,83000
BRASIL,6003301,5714714,5815498,5863358,6224980,5570126,6373818,6464406,6593253,6763163,5979578,5323602,72689798
