Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
MG,31,Minas Gerais,11755219.4836274,16165828.6925031,16383816.2779063,14540659.0152934,20044438.6041128,16716056.4888864,16036431.6916948,17246499.1778314,18330846.6583236,23330673.4829404,23788418.949008,26713878.2908068,29610081.6993863,28543628.661425,26855451.681691,28658647.4023812,25613964.4534728,11447277.9879623,8669385.838953,9026853.05788613,9374646.22956581,9241095.64345983,11886616.0299943,10716049.1521093,18209560.6178633,20147050.9976067,22125694.5943581,24325990.8776376,24760458.1097251,24066012.3271263,19798174.3457769,16894030.0181445,14105156.2950272,14401893.2501731,15655799.1799293,
MS,50,Mato Grosso do Sul,1414593.79942813,2015942.43381358,1549484.35608548,1583299.3544908,1996024.05438752,1678433.3611938,1600085.14260065,1580131.93467374,1758513.09429295,2449429.87122385,2274613.27820216,2146845.09508603,2342055.2658978,2501681.5510148,2088163.4854059,2492137.0471995,2446142.64352533,1410315.70500235,1410606.32059983,1559347.55300303,1315244.77288099,1496107.60848482,1426863.95034931,1533613.80902712,1925867.67472388,2527682.2021484,2889094.52187166,2960918.12516167,2612224.62955381,2843779.31716976,2933389.87244358,2836674.83179362,2424756.97045364,2347819.1756632,2397750.08343851,
MT,51,Mato Grosso,902117.950874904,1135848.70450158,955578.871364322,1101561.58640864,1245930.73972943,994896.935038163,1011521.29297504,1161062.76094122,1214377.85875849,1903773.98460701,1829291.94571163,1723537.00504801,1968989.53849532,2117359.1654565,1964447.25106153,2114021.20462331,2034103.11878557,2281314.52665068,1712981.44820377,2202455.05111894,1708582.24507087,1502495.78866404,1778575.95743415,1973518.72928623,2286305.62599393,3074157.32545783,3330629.6891166,3696345.7423532,4280962.87363698,4645331.96198405,4438830.10068187,3706773.26990823,3332931.39542865,3120967.79543443,3120337.63833731,
PA,15,Pará,3196020.25120661,3646465.26036689,3664496.1271946,4245551.33567958,4301141.73660633,3168154.48088074,3100486.85336147,4172102.9595761,4407961.68280262,5385490.21785116,4756865.72647832,4518168.59007057,4498136.50541383,4546862.29076778,4222407.39505996,4478985.01047433,4803922.19843257,2443525.47457397,1949833.17445083,2874714.02373285,2781011.25178017,2619217.83255195,2946934.74989666,3269901.22880127,3491360.01217842,4654470.37862999,5773314.14029486,6332866.1654453,6851317.83000416,7082051.26708447,6905157.35236395,4524575.1743912,3957236.07982581,4174709.04880585,4280872.4002062,
PB,25,Paraíba,1111701.71331885,1711007.23358785,1453312.88638596,1319505.80516996,1172069.26566728,1230707.75974854,1389385.82169551,1456211.28797344,1636430.16833179,2166374.02840143,1834824.09330257,1975704.7072034,1998146.5643198,2037785.08443854,1813514.75760239,1915640.09036946,1776632.02011293,1250915.57382342,894449.697000593,1168141.47620771,686699.461391298,1072160.0812023,1010256.07743237,1190034.14571768,1482514.44062379,1861881.06160644,1881583.63275419,2359876.7659689,2178808.847977,2342179.02874756,2233780.6892565,1851944.41212806,1808967.17069251,1683396.40181338,1745782.42122688,
PE,26,Pernambuco,3943688.3070913,5232372.62793637,4536130.83921697,4276670.86608061,5502320.90645023,4070799.01450353,4779362.22294913,5387845.75928278,7177702.28382721,7099239.38742737,6205759.4005354,6358291.76978082,8175114.95220467,8298033.50745609,7399709.97097192,7489531.94352956,7061120.18994166,6375647.15097919,3080284.81624268,5298716.78526618,4600092.32534922,3756664.42022434,4156683.30619068,4206687.61777116,5420887.84108602,7149704.34155221,8376554.80861333,8874519.0276754,8988015.51458599,7544699.23043295,6204428.53555288,4778597.55854777,4240458.70737533,3834025.21525162,3707386.43345437,
PI,22,Piauí,389029.953850816,531601.827374102,468569.101731193,551283.903291928,675950.083405351,425989.528633176,430462.871302337,543978.047750946,871188.288542586,1019639.56751164,980520.875906437,1258750.00675058,1326357.65661799,1567063.61272064,1405637.74936229,1429113.8416124,1246812.88762092,910368.429352882,541426.494715219,763757.476935911,872706.850936098,2138547.30486196,1008750.56627664,714754.039615588,1062891.05142843,1648399.17067723,1794099.38027368,1663993.77079892,1717187.83373785,2253415.41477597,1990622.84901935,1620831.12568036,1544074.48659871,1463225.37587668,1472610.15943157,
PR,41,Paraná,7096056.30139809,10309459.1967951,10099937.9275353,12750583.7410714,16264115.8676815,11192186.8579547,10044160.6309313,10259400.4950204,12441598.12672,15887268.7753817,16869666.6004603,16870258.1975378,19130133.2872946,19949534.8507086,17335541.0019421,15544648.8882676,14212244.3423242,8105917.99109044,6115525.40647237,6285128.80288437,5947862.92224097,5230491.87818463,7038600.85638513,7312984.09303936,9070033.22141817,10899828.5848841,12515648.990471,14439478.5923716,12874390.0184291,12810132.6315488,12169961.4998802,11194463.0473729,9840820.46822287,9685502.5559841,9756549.0166297,
RJ,33,Rio de Janeiro,13535140.2794993,16832797.5220405,16475041.4247327,18164521.0683636,22351252.914025,14687184.1162961,14334712.3685145,15974881.3397438,17905531.4724207,21920071.6678536,19841942.7759122,21720800.7319971,23227201.9680926,23474898.1186406,20415829.3855787,20793127.5000567,18972022.3811529,22002220.8607244,15520499.6046937,16949942.1020246,15360367.3074699,14600095.4692996,15482319.1192553,15328644.5314064,18805361.6453748,21712090.2041022,21907627.0544665,23860891.7112164,26917567.5779876,26448007.6644208,21548041.4957669,18525428.9672548,14468907.3679225,13762006.476777,12412616.8950849,
RN,24,Rio Grande do Norte,1185670.82411795,1661200.27787227,1922552.71235358,1366121.9648124,1520566.97269977,1407467.810774,1659634.93096818,1792664.34405948,1841923.43443227,2312014.90000128,2182208.00627527,2174284.96150398,2884211.98972282,2857735.25513553,2497769.66997322,2638328.89728239,2396290.3491408,1916358.56798925,884537.830636395,1506741.00418197,1364541.68715918,1291546.73397841,2103168.70688358,1622691.14339704,2174631.61184555,2244167.02849308,2634571.26183284,2900912.30803799,3276311.0986799,2873106.18673367,2732651.2735509,2106918.58410999,1747817.06299601,1584312.52923715,1533542.67360005,
RO,11,Rondônia,765253.686922181,1057193.9222655,1212915.37178683,1239873.51169724,1300175.81791652,938091.789233332,951076.269821624,887197.483774505,1288428.11767823,1431678.94106819,1381229.84343307,1735575.09891857,1737989.97988581,1838556.36456301,1521576.78082318,1650576.47796202,1854344.12497264,1138406.0954206,745905.354805603,1375161.52243374,932276.625724608,1781248.01967914,1334928.13348751,1440544.79176352,2037655.45997698,2659473.67092714,3753918.96869849,2959144.34351676,2208180.24924171,2264099.25585777,1766957.98927504,1086804.21452971,964774.755059808,803737.234956266,850073.673521595,
RR,14,Roraima,121639.466852395,137949.941875524,127476.357733478,145593.17440447,147413.758794794,106775.525689889,136014.567055847,149828.324579032,162407.00697201,192144.171749677,167957.064797003,160555.833185771,171092.842669515,146259.623919612,128877.675960105,131100.193149539,140612.870791317,411797.185612158,180024.161525789,208022.656947671,221349.49040279,458313.914943847,234392.87236475,248366.942838379,364455.188278809,537835.04221723,482179.246753831,390768.075796162,627101.611176818,549713.058000987,410581.78292443,417439.199652363,383284.076925806,398713.664530038,371112.077434534,
RS,43,Rio Grande do Sul,6041430.63113043,7276174.30076628,8047664.10811088,7499030.92166838,11349326.9950934,8578032.00467765,7260865.99160676,7045181.72200974,7228040.9103355,9934598.11619122,8330080.43427193,7515516.05693647,8591595.36418261,9312555.37816368,8046945.42106661,10762297.4819236,9962746.65800502,8079084.86345121,6537666.87513217,7066581.03447218,6490233.7357744,6169816.6962284,6531375.29074183,6949232.16817573,8130601.59020373,10213216.7412423,11189747.9514767,13281627.1257094,11960716.1830118,11706778.3175648,10923218.6079303,10710477.7803222,9165321.8798623,8974276.17552334,9852056.37882444,
SC,42,Santa Catarina,2181601.0603402,3049726.37032869,2040190.33383271,2825930.77660923,3581074.48654063,2624191.47355299,2913046.02067458,3049319.13982207,2979246.98237238,3913353.68657659,4758561.13159081,5647341.48363253,6418578.38318641,6505387.92119331,5736369.33220049,6081440.08603917,5746352.44154598,5423062.34323014,4943546.15421658,5177440.8328118,4854554.85410321,4890572.19932579,7192309.11765161,5621789.55926997,7051224.40421525,9249121.99784322,9186029.26918417,9578462.19243024,8856104.875086,8589548.8503574,8644233.43110989,8018050.23668197,6910453.9038173,7026914.00568729,6931119.43599932,
SE,28,Sergipe,1423498.48106628,1777792.21308705,1466215.29027919,1236698.38104039,1407983.41607177,1188676.11801292,1020213.55052989,1040679.11789207,1068074.38103441,1124056.92260515,881727.877266108,816484.209783086,1111314.06297786,1037739.92746121,813631.29647309,834578.569991638,718033.267106866,1068521.29842945,734226.229386566,1103152.61521195,813442.800203442,902302.859795366,1202153.40120792,1202911.32411752,1196218.84973594,1801152.91409336,1893742.14857222,2209444.18915945,2080283.01258514,1844343.37070253,1785577.56843497,1727121.62020471,1411031.2734007,1091267.90924522,874865.153687223,
SP,35,São Paulo,32501854.5318179,39892088.7450884,38896236.4432576,44008249.0185773,49808585.0922531,38387326.572592,36824853.0768061,38915428.3973514,43422932.4156532,51577409.9869019,53268904.6244041,57581632.0146295,62463281.1804758,62180248.8203903,54519507.2055629,55893499.07761,50372559.0732961,51114718.3534892,37944874.1253312,38444438.1536385,40071955.2220653,35227521.8248142,40891890.7432032,40813045.3708469,47576832.5968617,61678130.0562923,60257098.4645503,60884432.636987,63516179.2910087,60079718.5709457,55736952.3333774,48254378.6732727,43253369.6488804,40807418.353808,37987605.3265333,
TO,17,Tocantins,,,,,2626.3704140635,2736.1919913401,2367.7491962768,2293.9890608326,2938.4247616788,3658.0475050275,3599.4599794279,3684.4391842758,4463.5354070239,4435.4874174953,4899.7365400175,605845.459552915,1245872.10199263,927755.471936457,705334.751504,927839.142207934,747887.156493563,657980.603584492,809760.15795557,912825.964086903,1114237.78450151,1465063.01407845,1138722.24069726,934711.556114848,1161616.33226653,1164810.7305475,1062055.25387481,823586.312825835,947100.825264092,992936.494098544,890283.634074802,
