Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
MG,31,Minas Gerais,12.3375509688,12.2601204024,13.5122099136,13.1577866361,12.9177574658,12.4777359411,12.6344220477,12.1869337542,12.537891794,13.0659221387,13.3125449715,13.6359269461,13.8759851664,13.6719908182,13.462326131,13.9649989486,13.7672527415,10.9961323029,11.1097475712,12.1334240713,12.0760476303,12.7186474035,13.3917344018,14.0307941336,13.548947711,15.1565908267,16.3609975057,16.6741399447,16.5658339796,16.1579280161,15.0323101011,14.4557511985,14.638881366,15.1758343871,15.360778619,
MS,50,Mato Grosso do Sul,9.8419435143,9.845928734,10.3938752324,10.6191236552,10.7601421085,10.6071735598,10.9668241536,11.0429775113,11.7353447248,11.9469484257,12.3519414617,12.4355813352,12.8131525579,12.9803328071,12.8476355712,12.953411262,13.5571329513,12.9701146175,14.8568401206,14.1160288911,12.9542345673,13.4164660216,13.6688694772,15.3247124504,15.6864734549,16.6901272825,18.015060406,18.6901977047,18.8328695972,19.8165236917,19.2233884602,19.5523809438,19.5021366178,20.8076316383,19.5410483381,
MT,51,Mato Grosso,7.1157747339,7.5849597172,7.7408505894,8.1186428409,8.3553218384,8.1651272805,8.4679240063,9.3499436256,9.7978389362,10.7311011374,10.7162379701,10.8050981975,11.1684139829,11.680582819,12.2520741682,12.9146901893,13.5042678494,12.1906091883,14.7178424756,16.4595314609,15.4111264551,12.3697724959,14.3833910528,16.9852481854,16.7459359153,16.3230238939,18.4885759207,19.3410065678,19.6208267241,20.7761682417,20.4967288922,21.4782845037,20.5564343666,21.1256465388,20.6766545298,
PA,15,Pará,7.269115841,8.191269691,8.4277162454,8.5676328868,8.3004131715,8.4821575676,8.0911996334,8.2038885338,8.545594649,8.2204471075,8.0443212367,7.8957405813,7.9610384867,7.9858188534,7.9105342352,8.102147888,8.205703675,7.0394319846,6.8860101083,7.6529522518,7.5384370373,7.8205859107,8.1024228143,8.7401879393,8.0878536752,9.8871368248,10.8716851249,10.7054444638,11.0202537909,10.3244822055,9.9249729352,9.5725530906,10.3633230186,10.244586558,10.7290381074,
PB,25,Paraíba,4.738928126,5.0372178595,4.9894154753,5.0664715234,5.0374107169,5.1218901441,5.1968029581,5.0691862614,4.8743989684,5.4668042546,5.6459252883,5.7548904202,5.8903517058,5.7130011292,5.8164788276,6.0239753113,6.0270502339,6.1903820085,6.2562385652,6.1197373298,6.2673100648,6.9446136824,7.004533795,7.5063686567,7.8314261683,7.8165370223,8.0320340439,8.4451326628,8.330284609,8.7905654303,8.6505958219,8.3811527579,8.465911278,8.4836762108,8.535897884,
PE,26,Pernambuco,5.6943341077,6.1885479132,7.0537259152,6.8421852331,6.2710216878,7.1120177709,7.6022948865,8.1343409574,7.6374671584,7.7735075062,7.9136046648,7.8568263036,8.0221129848,7.913072864,7.857967819,8.1086793007,8.1521478663,7.3215326382,6.8315983018,7.2069165662,7.3288484397,7.482570501,7.6781446083,7.9295600524,8.3548861601,9.2316546672,9.7522478582,10.4006636286,10.4446699803,10.6004449687,9.8702048125,9.7092614292,10.1014576591,9.9554779287,10.0591496482,
PI,22,Piauí,3.7882311419,3.9948276656,3.9922265055,4.2070244264,4.178155938,4.1372953957,4.2647265664,4.1432704828,4.3242051903,4.610147789,4.6574884466,4.7695229067,4.784007189,4.7488369456,4.7650453284,4.868466388,4.919779211,4.1341219834,4.2719940585,4.3491622136,4.5451045089,5.2784880388,4.9808222658,5.3543647052,5.8054804898,6.2585207892,6.8239376607,6.8959206542,6.9760264574,7.8675726039,7.525817168,7.324242906,7.7234667109,8.1348612734,8.2149107727,
PR,41,Paraná,10.9286524386,11.1655148067,12.9177142834,12.8215211005,13.1118368275,12.993189728,12.8845377037,12.6134284044,13.700437606,14.2772572029,14.3564046696,14.9459386271,14.9979418656,15.3057175794,15.1414199437,15.7529294273,16.1489506305,14.8042065182,16.216452038,16.4217307008,15.5054369278,15.4916436132,17.4500976898,17.5158155658,17.3541844616,17.9816663576,19.2196724241,19.6419563835,20.8108628989,20.0439146116,20.0663159053,19.8241961897,19.7911039911,19.9779234545,20.1860747935,
RJ,33,Rio de Janeiro,21.4676741959,22.9622098397,22.8026592402,22.7104740351,22.7999134519,21.6285195267,21.5526032864,20.8561775158,20.8909878514,21.1427868949,21.4351970218,21.4074346588,21.3754773927,21.2983098468,21.0762030516,21.359047022,21.2882472039,20.3783306634,19.6323302641,20.3105211991,21.2292993635,21.9562544994,21.9379701371,23.4416172987,22.5564819281,23.6040786683,24.997375236,25.7992617356,25.9997916802,25.962113892,23.0558084309,20.6732628719,20.6305583699,21.7730432565,21.7867077079,
RN,24,Rio Grande do Norte,4.3911839405,4.7481740416,5.745640968,4.9413653048,5.1462863802,4.3688482384,5.1552589613,6.1254297193,6.836633882,7.2127596161,7.612000659,7.7156713745,7.9619670396,7.930359166,7.9954244184,8.247387067,8.2880788267,8.0462249239,7.5996535389,7.9799375783,8.5037200009,8.9635972726,9.4582294657,9.6178107884,9.5119398406,9.8476713588,10.5067109687,10.930494433,10.8239041131,10.4391703005,10.1974784213,9.6997893335,10.0169208934,10.1486977064,10.3628297257,
RO,11,Rondônia,9.8650089806,9.7821688012,9.2113008559,9.0588224238,8.2008907365,7.7462374935,7.6804554422,8.2052611449,8.3330205001,8.8869027849,9.0087508843,9.1489419282,9.0625843538,8.7364094597,8.9964365799,9.1267237274,9.3427111172,8.7941925535,9.5116294823,9.6115603127,10.3441162858,9.8647173049,10.0704410452,11.8683543099,12.5696235624,12.5982019981,14.1671453826,14.2881771919,12.7452461641,12.815279389,12.6337476673,12.5596380165,13.3153372167,13.5753468684,13.4590009169,
RR,14,Roraima,12.0752084795,12.0767329237,12.5274969312,12.8710717649,11.4361397902,11.2896169247,11.4515703254,11.3659642378,11.3198459586,11.250586255,11.3332155912,11.3067939213,11.181721364,10.6567696876,10.7350733761,10.7648239374,11.1525809108,12.1457698676,11.2148730973,10.5907915545,10.8403943737,11.7271375276,11.3437476719,12.499752581,13.3856020162,13.1704010116,13.4860512766,12.870849382,13.5932170486,13.3497657878,12.804515394,12.5555861942,13.0974968248,12.6092062932,12.2080714401,
RS,43,Rio Grande do Sul,15.1019909658,14.3790386099,17.3392000736,15.6852655972,13.9088831907,14.4414257507,15.5644085907,16.8112555044,17.1413962906,17.6683826562,18.215543091,17.9901487919,18.853986824,18.5081502285,18.5082220098,19.0884690727,19.2560846107,15.4223370853,16.2304188287,16.0872654819,15.1746401827,15.3314349613,16.7468108488,17.2698613212,17.3989479295,18.6770189482,19.4715297771,19.4982054404,20.4281250302,20.3998892381,20.3285726896,20.0112974835,19.8456989365,20.7479940833,21.0184087883,
SC,42,Santa Catarina,16.8950454682,18.0935973458,18.502972864,18.0253136944,18.0357733033,17.2942659152,17.4862919047,17.7565110336,18.4320880928,18.7359294484,19.5010579924,19.8858255241,20.4634529228,20.1427853348,20.0822904535,20.5757218084,20.8844623857,16.2728272811,16.4835158216,17.1806367997,17.193658534,17.782012772,18.6557953445,20.003019653,19.719133891,20.5418291342,21.475165748,21.7827845466,21.7016863708,22.4613396977,21.0861283284,20.0058239359,20.454305529,20.8314506335,21.3433328745,
SE,28,Sergipe,8.2757373095,8.993768054,8.8371479864,8.8663730422,8.5320370369,8.492623942,8.4435004265,8.2226447498,8.4335197127,8.4825655399,8.4215892959,8.561773119,9.0157557207,8.8628500033,8.6218728818,8.7672435729,8.6820460686,9.5400049299,9.3779767012,9.6473004018,9.4589225626,9.9134373596,10.1928043812,11.2593234102,10.5162429272,11.1727765703,11.5025542233,11.8954369791,11.4529066885,11.1885638167,10.5512129475,9.7300105837,9.7410151321,9.6979950161,9.8695679252,
SP,35,São Paulo,24.6238167146,25.7691064844,25.9767030211,25.3008555922,24.6698173357,22.9467064865,22.4485135313,21.5229856589,22.4841773891,23.4447255754,24.1643222911,24.1031639625,24.5496938133,23.8962432492,23.1100251143,23.7092725642,23.4228446292,21.4359130236,21.199301632,20.9310741498,22.0260912314,22.5372572271,24.0223167176,24.2287502898,24.6108916316,25.2276724962,26.302351417,26.2634820053,25.8623325578,26.0137585643,25.1168722167,24.4584354725,24.2532843849,24.1124698175,24.4772231908,
TO,17,Tocantins,,,,,7.9065010698,7.4802792384,7.6122181897,7.6062331607,7.5925648284,7.6169350505,7.7713175348,7.7757470707,7.9080208851,8.0789021631,8.0857119891,8.1320619577,8.0138560417,7.5145845539,7.994283143,7.9624854847,7.5219887434,7.7815962464,8.5431675647,9.8745776016,10.4176452195,10.435623066,10.9115367753,11.2913004048,11.6474407412,11.7036488037,11.9021521468,11.807608276,12.1823437491,12.2368445252,12.8565998065,
